,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2984568,移动开发,珠海,今天 11:28,15K-30K,23574,达人网络,珠海达人网络科技有限公司
1,2361703,移动开发其它,北京,2017-04-24,15k-30k,280,畅游,北京畅游天下网络技术有限公司
2,3022742,移动开发,北京,2017-04-17,10K-20K,158070,机道网络,北京机道网络科技有限公司
3,2982365,移动开发,北京,2017-04-05,1k-2k,61312,北京交通大学经管理学院,北京交通大学经济管理学院
4,2709415,移动开发总监,北京,2017-05-01,40k-50k,3950,销售易,仁科互动（北京）信息科技有限公司
5,2549171,移动开发工程师,北京,昨天 11:23,10k-15k,23727,知网,同方知网（北京）技术有限公司
6,3071313,移动开发工程师,上海,今天 09:59,15k-20k,13301,杉德集团,杉德集团-上海久彰电子商务有限公司
7,3043377,移动开发工程师,上海,昨天 10:25,6k-12k,34120,用友网络上海分公司,用友网络科技股份有限公司上海分公司
8,1697228,移动开发经理,北京,2017-04-12,15k-30k,31317,中国金融认证中心,中金金融认证中心有限公司
9,2756405,移动开发工程师（Cocox2d）-QY-005,杭州,今天 09:05,12k-16k,120844,他山网络,杭州他山网络技术有限公司
10,2976344,移动开发部主管,上海,2017-04-28,10k-20k,188875,上海馨途网络科技有限责任公司,上海馨途网络科技有限责任公司
11,1670154,移动开发讲师,珠海,今天 09:05,7k-10k,89467,南方IT学院,广东南方职业培训学院
12,2533887,高级移动开发工程师,佛山,2017-04-27,10k-15k,136992,众陶联,佛山众陶联网络科技有限公司
13,2937164,AndroidTV移动开发工程师,北京,今天 10:31,10k-20k,71380,CTR,央视市场研究股份有限公司
14,2670738,移动开发工程师,深圳,今天 09:33,12k-22k,62363,万科,万科企业股份有限公司
15,2976332,移动开发部总监,上海,2017-04-28,20k-30k,188875,上海馨途网络科技有限责任公司,上海馨途网络科技有限责任公司
16,2756331,高级移动开发工程师（Cocox2d）-QY-003,杭州,今天 09:05,15k-20k,120844,他山网络,杭州他山网络技术有限公司
17,2113117,移动开发经理,武汉,2017-04-26,15k-30k,37236,斗鱼直播,武汉斗鱼网络科技有限公司
18,3072624,移动开发工程师,北京,昨天 11:49,4k-6k,151739,北京小图科技有限公司,北京小图科技有限公司
19,2987404,移动开发工程师,上海,2017-04-27,20k-40k,451,腾讯,腾讯科技(深圳)有限公司
20,541965,移动开发实习生,济南,昨天 08:39,1k-2k,23122,山东广播电视台齐鲁网,山东广电新媒体公司
