,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2985856,精准推荐,北京,昨天 10:46,20k-40k,106474,谱思,北京谱思科技有限公司
1,2930248,精准推荐,北京,昨天 14:47,25k-50k,82991,数美,北京数美时代科技有限公司
2,2605609,精准推荐,深圳,昨天 16:49,10k-20k,54631,丝路天地,深圳丝路天地电子商务有限公司
3,2914790,推荐/搜索开发工程师,南京,2017-04-25,10k-20k,32179,南京领添,南京领添信息技术有限公司
4,2974943,精准推荐,北京,2017-04-28,30k-50k,70634,彩视,迅捷联动（北京）科技有限公司
5,1962220,算法专家（推荐/搜索）,杭州,昨天 10:55,18k-36k,26564,贝贝网,杭州贝购科技有限公司
6,333688,精准推荐,北京,2017-04-26,13k-25k,1331,多盟,多盟睿达科技（中国）有限公司
7,2419951,精准推荐,北京,2017-04-24,35k-70k,53398,小年糕,北京小年糕互联网技术有限公司
8,1319802,推荐系统工程师,北京,2017-04-25,20k-30k,147,拉勾网,北京拉勾网络技术有限公司
9,2447620,高级后端工程师（搜索/推荐/数据挖掘方向）,上海,昨天 17:22,15k-30k,5330,齐家网,上海齐家网信息科技股份有限公司
10,2691560,产品经理（推荐&amp;交易方向）,杭州,昨天 11:28,15k-25k,2900,微店,北京口袋时尚科技有限公司
11,3055976,高级/资深商业产品经理-推荐方向,上海,今天 11:47,15k-30k,50702,美团点评,北京三快在线科技有限公司
12,3034413,高级产品经理【新闻推荐】,上海,今天 09:31,15k-25k,7030,触宝科技,上海触乐信息科技有限公司
13,2456710,推荐系统工程师,北京,今天 09:00,15k-25k,68719,安心医生,北京惠福康信息咨询有限公司
14,1771529,精准推荐研发工程师,上海,今天 11:17,15k-25k,58109,55海淘,五五海淘（上海）科技股份有限公司
15,2968417,精准推荐,北京,今天 11:11,20k-35k,106474,谱思,北京谱思科技有限公司
16,2930261,推荐系统,北京,昨天 14:47,25k-50k,82991,数美,北京数美时代科技有限公司
17,2797218,高级广告产品经理 -推荐与策略方向,上海,2017-04-28,15k-25k,50702,美团点评,北京三快在线科技有限公司
18,3056876,搜索和推荐系统工程师,上海,今天 09:57,20k-30k,622,房多多,深圳市房多多网络科技有限公司
19,2996947,推荐系统-Java服务端开发,深圳,今天 11:10,15k-30k,101,迅雷,深圳市迅雷网络技术有限公司
20,2715486,研发专家（推荐、搜索、广告、大数据平台）,杭州,昨天 10:56,15k-30k,26564,贝贝网,杭州贝购科技有限公司
21,2482925,推荐系统工程师,杭州,2017-04-28,15k-25k,26248,丁香园,观澜网络（杭州）有限公司
22,156756,推荐系统工程师,北京,今天 11:37,15k-25k,328,考拉FM,众联智领科技（北京）有限公司
23,2807767,推荐算法工程师,上海,昨天 10:04,20k-35k,47993,鱼泡泡,上海鱼泡泡信息科技有限公司
24,2558080,算法（推荐/搜索/图像/自然语言/数据挖掘）工程师,北京,2017-05-01,30k-50k,156118,如梦境科技,如梦境数字科技（北京）有限公司
25,1902851,推荐系统工程师,北京,今天 10:14,15k-30k,4140,北京鲜柚科技有限公司,北京鲜柚科技有限公司
26,2842342,推荐系统工程师,北京,2017-04-28,18k-29k,24561,国美互联网,国美在线电子商务有限公司
27,2937144,推荐系统开发工程师,深圳,2017-04-30,18k-35k,117193,大宇无限,深圳大宇无限科技有限公司
28,2810767,大数据算法工程师-个性化推荐,广州,今天 09:40,12k-24k,132796,广州荔枝网络有限公司,广州荔枝网络有限公司
29,2727110,推荐系统工程师,北京,今天 11:08,15k-30k,133,猎豹移动,北京金山网络科技有限公司
30,1834054,精准推荐,北京,昨天 10:46,20k-40k,106474,谱思,北京谱思科技有限公司
31,2930263,推荐系统研发,北京,昨天 14:47,25k-50k,82991,数美,北京数美时代科技有限公司
