,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2036751,系统安全工程师,珠海,今天 10:49,10k-15k,32979,小源科技,珠海市小源科技有限公司
1,2626131,系统安全研究员,杭州,昨天 10:56,15k-25k,6462,安恒信息,杭州安恒信息技术有限公司
2,2714844,系统安全工程师,北京,今天 09:16,15k-20k,98285,国美金控,国美金控投资有限公司
3,2941875,系统安全工程师,深圳,今天 09:01,8k-15k,182843,标普医学信息研究中心,深圳市中标医学数据研究中心
4,2976193,系统安全工程师,上海,2017-04-28,10k-20k,188875,上海馨途网络科技有限责任公司,上海馨途网络科技有限责任公司
5,2986188,系统安全主管,深圳,今天 09:25,15k-30k,16777,深圳刷宝科技有限公司,深圳刷宝科技有限公司
6,2233566,系统安全开发工程师,广州,2017-04-28,10k-15k,92075,大圣科技,大圣科技股份有限公司
7,3039693,系统安全工程师,北京,昨天 16:27,20k-40k,55446,链家网,链家网（北京）科技有限公司
8,2821693,系统安全工程师中级,杭州,今天 09:09,6k-8k,63354,鹏信科技,浙江鹏信信息科技股份有限公司
9,3017170,高级系统安全工程师,上海,昨天 15:34,15k-25k,146,DerbySoft,德比软件（上海）有限公司
10,2930289,操作系统安全研究员,北京,2017-04-05,15k-25k,9231,启明星辰,北京启明星辰信息安全技术有限公司
11,3061693,高级系统安全工程师,北京,2017-04-26,25k-50k,33220,国家电网全资子公司北京汇通金财,北京汇通金财信息科技有限公司
12,1888585,高级系统安全工程师,广州,2017-04-25,15k-30k,589,多益网络,广州多益网络股份有限公司
13,3040602,系统安全工程师,上海,2017-04-20,31k-60k,114302,WAP,上海万革始应用软件有限公司
14,2646309,高级系统安全工程师,北京,2017-04-21,25k-35k,329,网易,网之易信息技术（北京）有限公司
15,3022383,系统安全工程师初级,杭州,今天 09:10,3k-5k,63354,鹏信科技,浙江鹏信信息科技股份有限公司
16,2913278,网络系统安全工程师,深圳,今天 11:50,8k-10k,56032,大尚网络,深圳大尚网络技术有限公司
17,2505411,系统安全管理员,深圳,2017-04-17,6k-10k,72228,水润天下,深圳市水润天下网络科技有限公司
18,2963093,工业控制系统安全工程师,成都,2017-04-20,4k-7k,171565,安舟信息,成都安舟信息技术有限公司
19,2992067,linux系统安全工程师（北京）,北京,今天 08:34,8k-10k,55546,飞思达,飞思达技术（北京）有限公司
20,1796244,WAF系统安全开发工程师,北京,昨天 11:48,15k-30k,534,京东金融,京东金融
21,3038913,运维部_金融系统安全高级工程师（北京、深圳）,北京,昨天 08:01,15k-19k,1575,百度,百度在线网络技术（北京）有限公司
22,2726244,系统安全运维工程师,杭州,2017-04-28,10k-20k,119564,欧加网络科技,义乌市欧加网络科技有限公司
23,3071459,运维部_分布式系统安全研发架构师（深圳）,深圳,昨天 08:07,15k-19k,1575,百度,百度在线网络技术（北京）有限公司
