,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3051401,系统工程师,深圳,今天 09:25,7k-10k,43807,智美达,深圳市智美达科技股份有限公司
1,2420566,系统工程师,北京,今天 10:09,18k-28k,61249,云鸟科技,北京云鸟科技有限公司
2,2737659,系统工程师,广州,今天 09:47,7k-12k,166140,鼎捷软件,鼎捷软件股份有限公司
3,3073456,系统工程师,广州,今天 09:12,5k-8k,31889,越亮传奇,越亮传奇科技股份有限公司
4,3011200,系统工程师,北京,昨天 13:33,9k-12k,6616,友信,友众信业金融信息服务（上海）有限公司北京朝阳投资咨询分公司
5,1712245,系统工程师,深圳,今天 09:27,10k-20k,11885,世联行,深圳世联行地产顾问股份有限公司
6,2922997,系统工程师,杭州,昨天 17:55,15k-25k,134211,连线网络,理想连线网络技术股份有限公司
7,2066814,系统工程师,北京,2017-04-17,10k-18k,31317,中国金融认证中心,中金金融认证中心有限公司
8,2032790,系统工程师,上海,昨天 16:51,4k-8k,7988,海鼎,上海海鼎信息工程股份有限公司
9,2141848,系统工程师,广州,今天 11:53,8k-14k,24265,蓝月亮,蓝月亮（中国）有限公司
10,2384988,系统工程师,深圳,今天 13:47,10k-20k,95529,云天励飞,深圳云天励飞技术有限公司
11,2933513,系统工程师,上海,今天 13:23,9k-12k,65514,上海天正,上海天正软件有限公司
12,2859767,系统工程师,北京,今天 11:08,13k-20k,520,小米,北京小米科技有限责任公司
13,1994888,系统工程师,乌鲁木齐,今天 10:28,4k-8k,4184,思特奇Si-tech,北京思特奇信息技术股份有限公司
14,2623379,系统工程师,广州,今天 11:21,6k-12k,132005,广东云联惠,广东云联国骥投资管理有限公司
15,2928146,系统工程师,广州,今天 10:38,8k-11k,547,彩讯科技,彩讯科技股份有限公司
16,2211966,系统工程师,上海,今天 10:25,15k-25k,51480,饿了么,拉扎斯网络科技（上海）有限公司
17,3032287,系统工程师,广州,今天 10:00,4k-7k,39441,广州餐道,广州餐道信息科技有限公司
18,2956515,系统工程师,北京,2017-05-01,9k-18k,40625,智慧星光,北京智慧星光信息技术有限公司
19,2314381,系统工程师,北京,昨天 09:53,12k-22k,39394,飞天联合,飞天联合（北京）系统技术有限公司
20,2937315,系统工程师,上海,今天 14:21,10k-20k,5918,驴妈妈旅游网,上海景域文化传播股份有限公司
21,2910411,系统工程师,贵阳,今天 09:41,5k-10k,88751,广州中软,广州中软信息技术有限公司
22,3060870,系统工程师,北京,今天 09:29,8k-10k,63383,博彦科技,博彦科技股份有限公司
23,1962199,系统工程师,上海,昨天 14:40,8k-16k,24102,Hypers,上海宏路数据技术股份有限公司
24,3048583,系统工程师,北京,昨天 13:29,4k-6k,25317,金证股份,深圳市金证科技股份有限公司
25,2653222,职位2：平台系统工程师,广州,今天 10:15,10k-16k,27949,广州简悦,广州简悦信息科技有限公司
26,1465496,系统工程师,上海,今天 09:49,10k-18k,40852,齐数科技（上海）有限公司,齐数科技（上海）有限公司
27,3073847,系统工程师,深圳,今天 09:56,8k-13k,622,房多多,深圳市房多多网络科技有限公司
28,3078005,系统工程师,北京,今天 13:24,20k-25k,53916,恩福健康科技,北京恩福健康科技中心
29,1237606,系统工程师,广州,今天 10:32,8k-10k,20695,东呈国际,广西东呈酒店管理有限公司广州分公司
30,1670659,系统工程师,上海,今天 10:26,15k-25k,51480,饿了么,拉扎斯网络科技（上海）有限公司
31,2669185,系统工程师,上海,今天 09:49,15k-22k,40852,齐数科技（上海）有限公司,齐数科技（上海）有限公司
32,2706151,系统工程师,沈阳,今天 09:21,6k-10k,126827,盛世全景,北京盛世全景科技股份有限公司
33,3043360,系统工程师,武汉,2017-04-28,6k-10k,77221,铭鸿数据,广东铭鸿数据有限公司
34,2982798,系统工程师,深圳,今天 09:30,7k-12k,29231,新华云帆,深圳市新华云帆科技有限公司
35,2802975,系统工程师,苏州,今天 09:47,7k-14k,166140,鼎捷软件,鼎捷软件股份有限公司
36,1603859,系统工程师,上海,昨天 15:34,10k-15k,146,DerbySoft,德比软件（上海）有限公司
37,2653455,系统工程师,成都,今天 09:48,10k-20k,57260,瑞数信息,瑞数信息技术(上海)有限公司
38,2867023,系统工程师,北京,今天 08:53,15k-25k,485,慧聪网,北京慧聪互联信息技术有限公司
39,2445253,系统工程师,深圳,2017-04-13,8k-15k,93309,中航信息,深圳中航信息科技产业股份有限公司
40,1293125,系统工程师,北京,今天 09:22,10k-20k,41823,58到家,北京五八到家信息技术有限公司
41,3075455,系统工程师,北京,昨天 18:13,4K-6K,199732,云峰数巨,云峰数巨(北京)科技有限公司
42,2238769,系统工程师,广州,2017-04-28,6k-9k,28225,方欣科技,方欣科技有限公司
43,2743002,系统工程师(J10673),上海,昨天 15:39,6k-8k,3112,沪江,沪江教育科技（上海）股份有限公司
44,2864216,系统工程师,北京,昨天 11:35,8k-15k,6616,友信,友众信业金融信息服务（上海）有限公司北京朝阳投资咨询分公司
45,3051964,系统工程师,杭州,2017-04-26,10k-15k,13163,个推,浙江每日互动网络科技股份有限公司
46,2998299,系统工程师,杭州,昨天 10:59,6k-10k,26467,思华科技,上海思华科技股份有限公司
47,2372626,系统工程师,杭州,2017-04-28,6k-12k,56333,沙塔,上海沙塔信息科技有限公司
48,2914686,系统工程师,南昌,2017-04-14,6k-9k,4184,思特奇Si-tech,北京思特奇信息技术股份有限公司
49,2921301,系统工程师,深圳,今天 09:59,10k-15k,36560,合时代,深圳合时代金融服务有限公司
50,2757386,高级系统工程师,深圳,昨天 08:39,15k-30k,76881,银盛金融,深圳银盛金融集团有限公司
