,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3072163,系统管理员,杭州,昨天 10:54,5K-7K,194493,宁波泰达进出口有限公司杭州分公司,宁波泰达进出口有限公司杭州分公司
1,2198260,系统管理员,北京,2017-04-25,13k-25k,100054,Base FX,北京倍飞视国际视觉艺术交流有限公司
2,1784180,系统管理员,杭州,今天 09:23,5k-10k,8169,点我达,点我达网络科技有限公司
3,2697518,网络/系统管理员,成都,昨天 15:25,3k-5k,42677,华清远见教育集团,北京华清远见科技发展有限公司
4,2903067,系统管理员,东莞,昨天 11:01,6k-10k,180060,东莞美宜佳,东莞市糖酒集团美宜佳便利店有限公司
5,2905200,系统管理员,杭州,昨天 09:31,6k-8k,9551,杭州悠可,杭州悠可化妆品有限公司
6,2946027,系统管理员,上海,2017-04-27,9k-13k,44833,恒生聚源,上海恒生聚源数据服务有限公司
7,3076072,系统管理员/网络管理员,深圳,今天 08:59,3k-6k,59235,南方网通,深圳市南方网通网络技术开发有限公司
8,3074183,系统管理员/监控工程师,北京,今天 09:28,3k-5k,25096,空中网,北京空中信使信息技术有限公司
9,2435257,系统管理员,北京,2017-04-25,8k-11k,33220,国家电网全资子公司北京汇通金财,北京汇通金财信息科技有限公司
10,1706882,系统管理员,佛山,今天 10:05,5k-8k,124682,天波教育,广东天波教育科技有限公司
11,3025163,系统管理员/网络管理员,广州,2017-04-28,4k-6k,63610,广州万迅电脑软件有限公司,广州万迅电脑软件有限公司
12,3076791,网络管理员\系统管理员,深圳,今天 10:27,4k-7k,38718,YKS,有棵树（深圳）网络科技有限公司
13,3053286,系统管理员,上海,昨天 09:30,4K-6K,70437,上海优立检测技术股份有限公司,上海优立检测技术股份有限公司
14,3078125,Helpdesk/系统管理员/网络管理员,成都,今天 13:47,3k-5k,23100,文轩教育,四川文轩教育科技有限公司
15,2181493,系统管理员,北京,2017-04-25,10k-20k,100054,Base FX,北京倍飞视国际视觉艺术交流有限公司
16,3008205,信息中心-系统管理员,北京,今天 11:52,6k-12k,3328,好未来,北京世纪好未来教育科技有限公司
17,2271479,系统管理员,北京,2017-04-26,3k-5k,1662,大麦网,北京红马传媒文化发展有限公司
18,3077013,系统管理员/网络管理员/IT运维专员,上海,今天 10:50,6k-10k,70856,网化商城,上海易势化学技术有限公司
19,1116337,系统管理员,深圳,2017-04-12,20k-30k,67217,招商证券信息技术中心,招商证券股份有限公司
20,2768321,系统管理员,上海,2017-04-24,25k-40k,6796,招商银行信用卡中心,招商银行股份有限公司信用卡中心
21,2189116,系统管理员/网络管理员,上海,昨天 09:42,6k-10k,42899,小蚁,上海小蚁科技有限公司
22,2901788,系统管理员/网络管理员,广州,今天 10:04,4k-8k,44165,亿牛科技,广州亿牛信息科技有限公司
23,1706283,系统管理员,武汉,昨天 09:13,3k-5k,69174,Newbiiz武汉网上网科技,武汉网上网科技有限公司
24,3021810,系统管理员,中山,2017-04-17,3k-6k,190547,立之创信息科技,中山市立之创信息科技有限公司
25,3021832,系统管理员,中山,2017-04-17,3k-6k,189176,立创检测,中山市立创检测技术服务有限公司
26,2698652,系统管理员,上海,昨天 11:17,12k-15k,79090,信数金服,上海信数金融信息服务有限公司
27,2882148,初级系统管理员,杭州,2017-04-19,4k-8k,115417,高升控股,高升控股股份有限公司
28,2104079,系统管理员,上海,昨天 15:47,3k-5k,139266,上海威资德,上海威资德信息技术有限公司
29,2599541,系统管理员,东莞,2017-04-22,4k-6k,32250,以纯集团,东莞市以纯集团有限公司
30,3022328,系统管理员,北京,2017-04-17,6k-12k,3328,好未来,北京世纪好未来教育科技有限公司
31,2097308,系统管理员,杭州,2017-04-19,6k-10k,138873,渡口网络,杭州渡口网络科技有限公司
32,1862492,系统管理员,杭州,2017-04-24,5k-10k,130732,华东医药股份有限公司,华东医药股份有限公司
33,3059636,系统管理员,上海,2017-04-26,4k-6k,197547,途赞汽车,上海创誉融资租赁有限公司
34,2763739,系统管理员,上海,2017-04-24,25k-40k,6796,招商银行信用卡中心,招商银行股份有限公司信用卡中心
35,2297499,系统管理员,上海,2017-04-05,4k-8k,106511,上海新卡说信息技术有限公司,上海新卡说信息技术有限公司
36,2790688,系统管理员,北京,2017-04-25,7k-10k,6364,新华网,新华网股份有限公司
37,3048479,系统管理员/网络管理员,深圳,2017-04-24,5k-8k,171318,深圳市松大科技有限公司,深圳市松大科技有限公司
38,2924804,系统管理员,上海,2017-04-05,10k-15k,44957,云南信托,云南国际信托有限公司
39,2998132,系统管理员,广州,2017-04-10,3k-5k,120089,速品服饰,广州速品服饰有限公司
40,3019095,系统管理员/ERP系统管理（黄小厨）,北京,昨天 20:46,6k-8k,159811,黄小厨,黄小厨新生活商业（北京）有限公司
41,2344459,web系统管理员,深圳,昨天 10:36,8k-16k,57934,深圳之窗网,深圳之窗网络有限公司
42,3032987,系统管理员,上海,2017-04-26,10k-15k,44340,申通快递,申通快递有限公司
43,3026016,IT系统管理员,北京,今天 10:10,5k-7k,96354,轻课,北京思享聚合科技有限公司
44,2838866,网络运维助理/系统管理员,杭州,2017-04-25,4k-5k,139801,益盟操盘手,上海益盟软件技术股份有限公司浙江分公司
45,2891073,系统管理员（实习生）,成都,2017-04-03,2k-3k,32424,图丰信息-成都,图丰信息（成都）有限责任公司
46,3013444,系统管理员/网络管理员,杭州,2017-04-24,5k-7k,107857,森特,浙江森特信息技术有限公司
47,3031718,系统管理员/网络管理员,广州,2017-04-25,4k-5k,163253,广东龙泉科技有限公司,广东龙泉科技有限公司
48,2898769,高级网络管理员/系统管理员,上海,2017-04-17,6k-9k,179410,中酒交易中心,中酒（上海）酒类交易中心股份有限公司
49,2834077,系统管理员/网络运维,深圳,2017-04-13,3k-5k,122413,和彩科技,深圳和彩科技有限公司
50,3032595,系统管理员/网络管理员/信息安全网络工程师,深圳,2017-04-23,6k-12k,102539,中顺源,深圳市中顺源科技有限公司
51,2085720,财务系统管理员,北京,今天 10:14,8k-15k,59251,映客直播,北京蜜莱坞网络科技有限公司
52,3014738,财务系统管理员,北京,昨天 09:44,10k-12k,53813,崔玉涛儿童健康管理中心,北京崔玉涛儿童健康管理中心有限公司
53,2898477,ERP系统管理员,厦门,2017-04-21,3K-6K,179357,Lifetime,来福太（厦门）塑胶制品有限公司
54,3054600,ERP系统运维专员、ERP系统管理员,合肥,2017-04-25,3k-4k,167202,物生物,安徽物生物家居用品有限公司
55,3055385,ERP系统管理员,南京,2017-04-28,5k-8k,137903,江苏阿米巴,江苏阿米巴信息科技有限公司
56,2812686,Linux系统管理员,杭州,今天 11:06,20k-35k,166345,绿湾,杭州绿湾网络科技有限公司
57,3066197,OA系统管理员,深圳,今天 10:09,10k-15k,163623,前海云集品,深圳市前海云集品电子商务有限公司
58,2787970,Linux系统管理员,杭州,昨天 09:06,5k-9k,25830,浙江公共安全技术研究院,浙江公共安全技术研究院有限公司
59,2699980,系统管理员(桌面技术支持),广州,今天 10:00,3k-5k,39441,广州餐道,广州餐道信息科技有限公司
60,3068765,OA系统管理员,深圳,今天 09:38,10k-15k,163623,前海云集品,深圳市前海云集品电子商务有限公司
61,3013975,helpdesk系统管理员,广州,2017-04-27,4k-6k,56329,久邦数码,广州市久邦数码科技有限公司
62,2763769,数据库系统管理员,上海,2017-04-24,25k-40k,6796,招商银行信用卡中心,招商银行股份有限公司信用卡中心
63,2479869,OA系统管理员,深圳,2017-04-11,8k-10k,151278,兆驰股份,深圳市兆驰股份有限公司
64,2795198,OA系统管理员/网络管理员,北京,2017-04-12,6k-7k,59128,爱思博特国际教育,北京爱思博特国际教育投资有限公司
65,2775841,网络系统管理员/IT技术支持,成都,2017-04-22,3k-6k,42677,华清远见教育集团,北京华清远见科技发展有限公司
