,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1961907,系统集成,北京,今天 09:05,6k-12k,37203,九恒星,北京九恒星科技股份有限公司
1,3004318,系统集成工程师,成都,今天 10:12,5k-8k,171142,成都国铁电气设备有限公司,成都国铁电气设备有限公司
2,2981688,系统集成工程师,深圳,昨天 19:35,8k-15k,94153,海云天科技,深圳市海云天科技股份有限公司
3,2968714,系统集成工程师,北京,今天 11:41,8k-10k,71494,北大医信,北大医疗信息技术有限公司
4,3043437,系统集成工程师,深圳,今天 13:41,10k-15k,61343,万睿科技,深圳市万睿智能科技有限公司（万科全资子公司）
5,3052603,系统集成工程师,武汉,今天 08:41,6k-8k,2238,九州通医药集团股份有限公司,九州通医药集团股份有限公司
6,3069909,系统集成工程师,上海,昨天 13:17,8k-10k,129681,票易通,上海云砺信息科技有限公司
7,3039659,系统集成工程师,杭州,今天 10:56,10k-20k,85833,创建科技,浙江创建科技有限公司
8,2830803,售前工程师（系统集成）,北京,2017-04-28,6k-8k,31504,乐知行,北京乐知行软件有限公司
9,2799845,大客户经理（系统集成、云计算）,上海,2017-04-13,20k-40k,19409,有孚网络,上海有孚网络股份有限公司
10,2909908,系统集成工程师,成都,今天 09:00,7k-11k,135877,赫尔墨斯,成都赫尔墨斯科技有限公司
11,1972747,系统集成工程师,北京,今天 10:09,7k-14k,113076,华正方圆,北京华正方圆科技发展有限公司
12,3005204,设计部经理（弱电、智能化、系统集成、安防）,深圳,今天 09:26,14k-20k,106150,南方银谷,南方银谷科技有限公司
13,2907672,系统集成工程师,北京,2017-04-26,10k-20k,86464,极晨智道信息技术有限公司,极晨智道信息技术（北京）有限公司
14,3011811,系统集成工程师,广州,2017-04-26,6k-8k,53634,广东智源,广东智源信息技术有限公司
15,2747697,销售（系统集成）,成都,今天 09:09,3k-6k,33798,四川汽车票务网,四川倍施特科技股份有限公司
16,2923917,系统集成工程师,北京,昨天 10:03,9k-18k,176186,国机智能技术研究院,国机智能科技有限公司
17,2953753,实施工程师/系统集成工程师,杭州,今天 09:09,4k-8k,63354,鹏信科技,浙江鹏信信息科技股份有限公司
18,2325444,系统集成工程师,北京,2017-04-28,8k-10k,80815,北大软件,北京北大软件工程发展有限公司
19,2673748,系统集成工程师,武汉,2017-04-27,6k-8k,122536,陕西西普数据,陕西西普数据通信股份有限公司
20,2197604,系统集成工程师,深圳,2017-04-13,7k-12k,93309,中航信息,深圳中航信息科技产业股份有限公司
21,3046306,系统集成工程师,广州,昨天 09:22,6k-9k,173496,广东军缆,广东军缆信息技术有限公司
22,3066501,系统集成助理,日喀则,2017-04-27,5k-6k,161308,上海创图,上海创图网络科技股份有限公司
23,2994422,系统集成工程师,孝感,2017-04-24,3k-6k,153669,湖北海狸,湖北海狸信息科技有限公司
24,2795521,IT系统集成工程师,成都,今天 10:12,4k-6k,171142,成都国铁电气设备有限公司,成都国铁电气设备有限公司
25,3012219,系统集成工程师,广州,2017-04-13,5k-10k,192791,广州华宇,广州华宇信息技术有限公司
26,1750327,系统集成工程师（广州）,广州,昨天 10:15,4k-8k,125922,广东紫晶,广东紫晶信息存储技术股份有限公司
27,3044066,系统集成工程师,成都,2017-04-24,4k-8k,196208,长联信,四川长联信科技股份有限公司
28,3013105,系统集成工程师,成都,昨天 11:13,4k-6k,19899,拓牛,四川拓牛网络科技有限公司
29,3069139,系统集成工程师（应届生）,北京,2017-04-28,4k-6k,76714,南软,北京南天软件有限公司
