,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2363014,网络安全,北京,今天 09:26,6k-10k,9995,北京天融信公司,北京天融信网络安全
1,3068843,网络安全,北京,昨天 16:00,15k-30k,82211,卿烨科技,卿烨科技（北京）有限责任公司
2,1454900,网络安全,北京,昨天 16:27,15k-29k,61921,人人行(借贷宝),人人行科技有限公司
3,2995024,网络安全工程师,北京,今天 09:32,15k-30k,52978,优雅广告,上海优雅广告有限公司
4,2577885,网络安全,杭州,2017-04-26,10k-15k,85143,多多理财,浙江多多互联网金融信息服务有限公司
5,1468115,网络安全工程师,上海,今天 10:35,10k-15k,1938,莉莉丝游戏,莉莉丝科技（上海）有限公司
6,3060842,网络安全工程师-深圳-01155,深圳,昨天 08:47,15k-20k,19313,网宿科技,网宿科技股份有限公司北京分公司
7,2014235,网络安全,北京,今天 13:10,15k-30k,4286,竞技世界,竞技世界（北京）网络技术有限公司
8,2841230,网络安全工程师,上海,今天 09:14,15k-30k,1738,有鱼金融科技,上海彩亿信息技术有限公司
9,3022350,网络安全工程师,深圳,昨天 11:02,25k-35k,164474,欣贵隆科技,深圳市欣贵隆科技有限公司
10,3044471,网络安全工程师,上海,今天 11:12,8k-10k,26962,上海你我贷互联网金融信息服务,嘉银（上海）金融信息服务有限公司
11,3047940,网络安全工程师,上海,昨天 11:05,12k-22k,30356,平安好房,平安好房（上海）电子商务有限公司
12,2865387,网络安全工程师,杭州,昨天 09:31,8k-16k,174804,孝道科技,杭州孝道科技有限公司
13,2830085,网络安全工程师(000984),北京,今天 09:46,10k-15k,104947,国美控股集团,国美控股集团有限公司
14,2948813,网络安全工程师,广州,昨天 14:49,5k-10k,20473,广州棒谷网络科技有限公司,广州棒谷网络科技有限公司
15,2294879,网络安全,北京,今天 09:26,3k-6k,9995,北京天融信公司,北京天融信网络安全
16,2320123,网络安全,北京,今天 10:19,15k-30k,61921,人人行(借贷宝),人人行科技有限公司
