,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2752547,测试开发工程师（自动化）,上海,昨天 10:01,15k-30k,30843,ezbuy,前海煦逸信息技术（深圳）有限公司
1,3040806,测试工程师（自动化）,北京,今天 08:27,7k-10k,37975,神工,神工众志（北京）科技有限公司
2,2816664,软件测试工程师（自动化）,厦门,今天 09:25,5k-8k,96050,蓝斯股份,厦门蓝斯通信股份有限公司
3,2913531,M2测试经理（性能/自动化）,上海,今天 10:18,20k-30k,34683,买单侠,上海秦苍信息科技有限公司
4,2830105,高级测试工程师（性能、自动化）(000983),北京,今天 09:46,10k-15k,104947,国美控股集团,国美控股集团有限公司
5,2494986,测试工程师（自动化/功能）,上海,2017-05-01,8k-14k,1403,爱回收,上海悦易网络信息技术有限公司
6,3053222,测试工程师（自动化方向）,北京,今天 09:02,10k-15k,53658,踏浪者,北京踏浪者科技有限公司
7,3072208,测试工程师（自动化）,杭州,昨天 11:01,8k-15k,148986,首格网络,上海首格网络科技有限公司
8,2835293,高级软件测试工程师（自动化）,深圳,昨天 09:44,15k-25k,28834,Sunvalley,深圳市泽宝网络科技有限公司
9,3018950,软件测试（功能+自动化）,成都,昨天 09:40,8k-13k,29303,活跃网络,活跃网络（成都）有限公司
10,2260522,高级测试工程师 (自动化方向),北京,昨天 09:41,12k-18k,91793,优mall,北京华孚万家科技有限公司
11,3022823,自动化工程师,厦门,今天 08:42,8k-15k,70447,厦门节点,厦门市节点科技集团有限公司
12,2986439,自动化/性能测试工程师,成都,今天 09:12,10k-15k,21935,上海西信,上海西信信息科技有限公司
13,2826355,自动化运维,杭州,2017-04-08,10k-20k,168150,钱咚咚,杭州钱咚咚投资管理有限公司
14,2877080,自动化工程师,南京,昨天 11:10,10k-20k,1678,华为慧通,华为全资子公司慧通公司
15,2916454,软件测试工程师（自动化）,厦门,今天 09:25,4k-6k,96050,蓝斯股份,厦门蓝斯通信股份有限公司
16,2879272,测试经理M2（自动化/性能测试）,南京,今天 10:18,14k-18k,34683,买单侠,上海秦苍信息科技有限公司
17,2775659,软件测试工程师（性能或自动化）,北京,今天 09:46,10k-18k,104947,国美控股集团,国美控股集团有限公司
18,2784357,测试开发工程师（自动化方向）,北京,昨天 09:44,10k-20k,98285,国美金控,国美金控投资有限公司
19,2860253,高级测试（功能+自动化）/ Sr.QA,西安,昨天 09:40,15k-18k,29303,活跃网络,活跃网络（成都）有限公司
20,3027906,【资深测试开发工程师（自动化方向）】,北京,2017-04-18,25k-40k,164089,新氧盒子,北京新氧盒子科技有限公司
21,3027499,高级电子电气（自动化）工程师,沈阳,2017-04-18,7k-9k,194660,欣能科技,辽宁欣能能源环保科技有限公司
22,2198423,自动化工程师(J13711),杭州,2017-04-28,8k-14k,42264,吉利集团（易云科技）,杭州吉利易云科技有限公司
23,2620089,自动化工程师,北京,2017-04-12,15k-30k,82837,古点 (dotcom),古点投资有限公司
24,3039301,自动化工程师,长沙,2017-04-20,4k-8k,192154,昆仑集团,西安昆仑工业（集团）有限责任公司
25,3061242,软件测试经理/主管（AR热门领域，必须会自动化）,北京,今天 11:47,15k-25k,56857,亮亮视野,北京亮亮视野科技有限公司
26,1240497,自动化工程師,上海,昨天 16:12,5k-8k,21703,昌硕科技,昌硕科技（上海）有限公司
27,3040261,自动化开发工程师,上海,2017-04-20,12k-16k,45315,快钱,快钱支付清算信息有限公司
28,2984328,测试工程师（功能、性能、自动化）,北京,2017-04-05,14k-28k,175229,建信融通,建信融通有限责任公司
29,3047803,测试组长（团队及自动化）,北京,2017-04-24,15k-25k,110677,小麦科技,北京小麦科技有限公司
30,2879456,资深测试工程师（自动化/性能测试）,南京,昨天 09:48,13k-16k,34683,买单侠,上海秦苍信息科技有限公司
31,2956295,【测试经理（自动化、性能测试方向）】,北京,2017-04-14,25k-40k,164089,新氧盒子,北京新氧盒子科技有限公司
32,3027175,互联网测试 - 自动化,上海,2017-04-18,15k-30k,13815,Movoto,美屋得信息技术（上海）有限公司
33,2417620,测试工程师（自动化）,上海,2017-04-18,8k-13k,41803,易居筑想,上海筑想信息科技有限公司
34,3043726,急聘 自动化工程师,北京,2017-04-21,6k-11k,48937,吉贝克,吉贝克信息技术有限公司
35,3013352,自动化工程师,北京,2017-04-13,7k-10k,186143,东方立景,北京东方立景科技有限公司
36,2914656,自动化高级工程师,深圳,今天 09:27,10k-15k,59601,招商国际信息,招商局国际信息技术有限公司
37,2857485,大数据自动化&amp;性能测试工程师,深圳,2017-04-10,18k-30k,3060,华为技术有限公司,华为技术有限公司
38,3002391,自动化控制工程师,上海,2017-04-21,8k-15k,109373,通微公司,上海通微分析技术有限公司
39,1654720,自动化工程师,深圳,2017-04-19,5k-10k,109859,天通苑,深圳天通苑环保科技投资发展有限公司
40,2847749,嵌入式系统工程师（电子/通信/自动化/网络/测控）,北京,2017-04-26,5k-8k,173610,度量科技,北京度量科技有限公司
41,2991209,调度自动化工程师,广州,今天 09:12,8k-12k,31889,越亮传奇,越亮传奇科技股份有限公司
42,2268503,高级软件测试&amp;偏移动端会自动化,深圳,昨天 12:00,8k-15k,5580,明源云,深圳市明源云客电子商务有限公司
43,3017805,移动自动化工程师,南京,2017-04-28,8k-15k,34824,焦点科技,焦点科技股份有限公司
44,2982939,自动化系统工程师,深圳,2017-04-11,8k-15k,10667,芒果网,芒果网有限公司
45,2928866,资深测试工程师（自动化方向）,上海,今天 10:18,15k-28k,34683,买单侠,上海秦苍信息科技有限公司
46,3036940,自动化研发工程师,上海,2017-04-20,4k-6k,122446,同丰科技集团,上海同丰工程咨询有限公司
47,3025024,自动化设备软件开发,杭州,2017-04-17,8K-12K,7101,海康威视,杭州海康威视数字技术股份有限公司
48,2674630,副总经理（需有自动化、智能类经验）,北京,2017-04-17,15k-30k,163281,乐康医疗,优步乐康（北京）网络科技有限公司
49,2685667,电气仪表/自动化工程师助理,西安,今天 07:30,5k-8k,163793,国家电投集团,国家电投集团河南电力检修工程有限公司
50,3076669,自动化脚本开发,北京,今天 10:16,10k-15k,5812,用友,用友网络科技股份有限公司
51,3067955,高级测试（接口自动化方向）,北京,今天 14:42,10k-20k,46399,会分期,会找房（北京）网络技术有限公司
52,2760040,自动化机械工程师,深圳,今天 09:40,10k-15k,32687,青柏信息,深圳市青柏信息科技有限公司
53,2840380,高级自动化开发工程师,上海,2017-04-10,13k-16k,45315,快钱,快钱支付清算信息有限公司
54,2907911,智慧产业/自动化产业/智慧行业销售,杭州,2017-04-11,10k-20k,173670,浙江安控,浙江安控科技有限公司
55,3065410,自动化平台部署工程师,北京,昨天 17:01,6k-8k,101871,慧博云通,北京慧博云通科技股份有限公司
56,3020383,机械自动化工程师,武汉,昨天 08:37,6k-10k,193926,盛为芯,武汉盛为芯科技股份有限公司
57,2915536,非标自动化设备开发工程师,深圳,2017-04-28,13k-25k,180427,聚龙高科,深圳市聚龙高科电子技术有限公司
58,2913131,自动化技术经理,深圳,今天 09:27,10k-18k,59601,招商国际信息,招商局国际信息技术有限公司
59,2791468,激光自动化机械工程师,深圳,昨天 09:52,8k-15k,158308,超越激光,深圳市超越激光技术有限公司
60,3061669,自动化仓储设计工程师,深圳,今天 11:35,10k-15k,149326,纵腾网络,深圳市纵腾贸易有限公司
61,3037048,基础自动化工程师（实习生）,重庆,2017-04-28,2k-3k,124717,中冶赛迪研发中心,重庆赛迪冶炼装备系统集成工程技术研究中心有限公司
62,3000910,数据中心研发自动化研发工程师,北京,2017-04-28,15k-20k,191872,Zenlayer,上海层峰网络科技有限公司
63,3029821,电气自动化（助理）工程师,上海,2017-04-18,4k-6k,194717,上海汉克威,上海汉克威自动化科技有限公司
64,1630088,自动化测试,深圳,今天 10:00,9k-11k,117217,博悦科创,深圳市博悦科创科技有限公司
65,1533578,自动化测试,北京,今天 10:03,15k-30k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
66,3004119,自动化测试,杭州,今天 09:22,10k-20k,165220,昊汉网络,浙江昊汉网络有限公司
67,2958943,配电自动化业务专家,北京,昨天 15:47,25k-40k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
68,2170916,自动化测试,北京,昨天 10:34,10k-20k,131071,小圈科技,北京小圈科技有限公司
69,3022414,自动化测试工程师,北京,今天 10:19,15k-25k,26508,iHandy,北京汉迪世纪科技有限公司
70,3047317,自动化测试工程师,深圳,今天 12:33,10k-20k,105373,优维科技,优维科技（深圳）有限公司
71,2566350,自动化测试,上海,今天 09:33,15k-20k,14093,瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司
72,2623738,自动化测试工程师,北京,今天 09:38,15k-20k,96358,伊翔运达,天津伊翔运达网络科技有限公司
73,2213226,自动化测试,杭州,今天 10:05,13k-26k,14945,销冠科技,杭州销冠网络科技有限公司
74,2497998,自动化测试,上海,今天 09:58,15k-25k,82347,运满满,北京满运物流信息有限公司
75,2229309,高级自动化测试,北京,今天 10:03,18k-30k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
76,2479759,配电自动化业务专家,北京,昨天 09:20,20k-40k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
77,2951766,自动化测试工程师,北京,今天 09:38,15k-20k,96358,伊翔运达,天津伊翔运达网络科技有限公司
78,2840371,自动化测试工程师,上海,今天 09:52,10k-15k,16069,“我爱我家” 家居销售平台（电商+店商+专业服务商）,上海鸿洋电子商务有限公司
79,3044030,Java开发工程师（工业自动化项目）,西安,2017-04-27,5k-7k,45696,云信软件,北京云信众成软件技术有限公司
80,2866812,自动化测试,北京,昨天 10:07,15k-25k,29496,闪银奇异,北京闪银奇异科技有限公司
81,3031867,自动化测试工程师,北京,今天 09:07,15k-25k,5812,用友,用友网络科技股份有限公司
82,3040625,自动化测试,杭州,今天 10:30,12k-24k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
83,1941159,自动化测试工程师,深圳,今天 09:10,10k-15k,83025,环球易购,深圳市环球易购电子商务有限公司
84,641845,自动化测试,武汉,昨天 10:11,8k-15k,37236,斗鱼直播,武汉斗鱼网络科技有限公司
85,2752553,自动化测试工程师,上海,今天 14:39,12k-18k,6636,携程,携程计算机技术（上海）有限公司
86,3078400,自动化测试,北京,今天 14:18,10k-12k,34573,半糖,北京九州云动科技有限公司
87,2834884,自动化测试,上海,今天 09:33,10k-18k,14093,瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司
88,3039707,自动化测试工程师,杭州,今天 09:18,8k-16k,35980,车纷享,杭州车厘子智能科技有限公司
89,2951056,自动化结构设计工程师,苏州,2017-04-14,7k-14k,60028,凌云光技术集团有限责任公司,凌云光技术集团有限责任公司
90,2117032,自动化测试工程师,北京,今天 10:03,15k-30k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
91,1939906,自动化测试,杭州,今天 08:36,9k-15k,52809,新致软件,上海新致软件股份有限公司
92,2913766,自动化测试,西安,昨天 18:01,5k-7k,26980,上海华腾软件系统有限公司,上海华腾软件系统有限公司
93,1560143,自动化测试,深圳,今天 10:00,6k-12k,117217,博悦科创,深圳市博悦科创科技有限公司
94,2501932,自动化测试工程师,苏州,昨天 17:32,10k-20k,94,思必驰科技,苏州思必驰信息科技有限公司
95,2782061,【成都】自动化测试,成都,昨天 15:15,9k-18k,67300,ThoughtWorks,思特沃克软件技术（成都）有限公司
96,1452683,自动化测试,上海,今天 09:58,10k-15k,13825,云汉芯城,云汉芯城（上海）互联网科技股份有限公司
97,2217949,自动化测试,上海,今天 09:08,10k-15k,15533,乐其网络,东莞市乐其网络科技有限公司
98,1852520,自动化测试工程师,厦门,今天 10:57,15k-20k,95617,乐商云集,乐商云集（厦门）供应链有限公司
99,2951059,自动化电控设计工程师,苏州,2017-04-14,7k-14k,60028,凌云光技术集团有限责任公司,凌云光技术集团有限责任公司
100,3052176,自动化测试工程师,北京,今天 10:42,10k-18k,3786,宜信,普信恒业科技发展（北京）有限公司
101,2881273,自动化测试工程师,北京,今天 09:42,10k-18k,40625,智慧星光,北京智慧星光信息技术有限公司
102,2666013,自动化测试工程师,上海,今天 10:42,15k-20k,89076,HYPEREAL VR,上海幻触信息科技有限公司
103,2656131,自动化测试工程师,上海,今天 09:26,12k-19k,35112,中腾信,中腾信金融信息服务（上海）有限公司
104,2878255,自动化测试工程师,上海,昨天 09:35,15k-30k,8523,网贷之家,上海盈讯科技股份有限公司
105,2641496,自动化测试,杭州,今天 08:36,10k-18k,52809,新致软件,上海新致软件股份有限公司
106,3069721,自动化测试工程师,北京,昨天 18:37,15k-20k,3786,宜信,普信恒业科技发展（北京）有限公司
107,3038374,自动化测试工程师,上海,今天 10:25,13k-25k,51480,饿了么,拉扎斯网络科技（上海）有限公司
108,2699948,自动化测试工程师,上海,今天 11:12,20k-35k,26962,上海你我贷互联网金融信息服务,嘉银（上海）金融信息服务有限公司
109,2751075,高级自动化测试,上海,今天 09:12,18k-23k,53654,上海安能物流有限公司,上海安能聚创供应链管理有限公司
