,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1533578,自动化测试,北京,今天 10:03,15k-30k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
1,3004119,自动化测试,杭州,今天 09:22,10k-20k,165220,昊汉网络,浙江昊汉网络有限公司
2,1630088,自动化测试,深圳,今天 10:00,9k-11k,117217,博悦科创,深圳市博悦科创科技有限公司
3,2170916,自动化测试,北京,昨天 10:34,10k-20k,131071,小圈科技,北京小圈科技有限公司
4,1217208,自动化测试,上海,今天 10:18,15k-25k,34683,买单侠,上海秦苍信息科技有限公司
5,2566350,自动化测试,上海,今天 09:33,15k-20k,14093,瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司
6,3022414,自动化测试工程师,北京,今天 10:19,15k-25k,26508,iHandy,北京汉迪世纪科技有限公司
7,2213226,自动化测试,杭州,今天 10:05,13k-26k,14945,销冠科技,杭州销冠网络科技有限公司
8,3047317,自动化测试工程师,深圳,今天 12:33,10k-20k,105373,优维科技,优维科技（深圳）有限公司
9,2497998,自动化测试,上海,今天 09:58,15k-25k,82347,运满满,北京满运物流信息有限公司
10,2623738,自动化测试工程师,北京,今天 09:38,15k-20k,96358,伊翔运达,天津伊翔运达网络科技有限公司
11,2866812,自动化测试,北京,昨天 10:07,15k-25k,29496,闪银奇异,北京闪银奇异科技有限公司
12,3040625,自动化测试,杭州,今天 10:30,12k-24k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
13,641845,自动化测试,武汉,昨天 10:11,8k-15k,37236,斗鱼直播,武汉斗鱼网络科技有限公司
14,1939906,自动化测试,杭州,今天 08:36,9k-15k,52809,新致软件,上海新致软件股份有限公司
15,2229309,高级自动化测试,北京,今天 10:03,18k-30k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
16,1160794,自动化测试,上海,今天 10:18,15k-25k,34683,买单侠,上海秦苍信息科技有限公司
17,2951766,自动化测试工程师,北京,今天 09:38,15k-20k,96358,伊翔运达,天津伊翔运达网络科技有限公司
18,2834884,自动化测试,上海,今天 09:33,10k-18k,14093,瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司
19,2641496,自动化测试,杭州,今天 08:36,10k-18k,52809,新致软件,上海新致软件股份有限公司
20,2840371,自动化测试工程师,上海,今天 09:52,10k-15k,16069,“我爱我家” 家居销售平台（电商+店商+专业服务商）,上海鸿洋电子商务有限公司
21,1452683,自动化测试,上海,今天 09:58,10k-15k,13825,云汉芯城,云汉芯城（上海）互联网科技股份有限公司
22,2217949,自动化测试,上海,今天 09:08,10k-15k,15533,乐其网络,东莞市乐其网络科技有限公司
23,3031867,自动化测试工程师,北京,今天 09:07,15k-25k,5812,用友,用友网络科技股份有限公司
24,2782061,【成都】自动化测试,成都,昨天 15:15,9k-18k,67300,ThoughtWorks,思特沃克软件技术（成都）有限公司
25,2913766,自动化测试,西安,昨天 18:01,5k-7k,26980,上海华腾软件系统有限公司,上海华腾软件系统有限公司
26,1560143,自动化测试,深圳,今天 10:00,6k-12k,117217,博悦科创,深圳市博悦科创科技有限公司
27,3039707,自动化测试工程师,杭州,今天 09:18,8k-16k,35980,车纷享,杭州车厘子智能科技有限公司
28,2501932,自动化测试工程师,苏州,昨天 17:32,10k-20k,94,思必驰科技,苏州思必驰信息科技有限公司
29,1967998,自动化测试,上海,昨天 15:31,15k-30k,129806,都纳信息科技,上海都纳信息科技有限公司
30,2117032,自动化测试工程师,北京,今天 10:03,15k-30k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
31,2089279,自动化测试,上海,今天 10:18,20k-30k,34683,买单侠,上海秦苍信息科技有限公司
32,3015154,自动化测试,北京,今天 10:01,8k-15k,28014,永洪科技,北京永洪商智科技有限公司
33,1423834,自动化测试,上海,昨天 09:42,10k-20k,42899,小蚁,上海小蚁科技有限公司
34,2860735,自动化测试,上海,2017-04-20,9k-15k,156748,Altenchina,欧立腾（北京）技术咨询有限公司上海分公司
35,1852520,自动化测试工程师,厦门,今天 10:57,15k-20k,95617,乐商云集,乐商云集（厦门）供应链有限公司
36,3052176,自动化测试工程师,北京,今天 10:42,10k-18k,3786,宜信,普信恒业科技发展（北京）有限公司
37,2881273,自动化测试工程师,北京,今天 09:42,10k-18k,40625,智慧星光,北京智慧星光信息技术有限公司
38,2656131,自动化测试工程师,上海,今天 09:26,12k-19k,35112,中腾信,中腾信金融信息服务（上海）有限公司
39,3012979,自动化测试,上海,今天 09:13,10k-20k,193076,川石道征信,川石道企业信用征信（上海）有限公司
40,2238065,自动化测试,上海,2017-04-26,15k-20k,67532,牛娃互联网金融,上海牛圆网络科技有限公司
41,2666013,自动化测试工程师,上海,今天 10:42,15k-20k,89076,HYPEREAL VR,上海幻触信息科技有限公司
42,2219690,自动化测试,深圳,今天 08:30,15K-20K,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
43,2878255,自动化测试工程师,上海,昨天 09:35,15k-30k,8523,网贷之家,上海盈讯科技股份有限公司
44,2258509,自动化测试,上海,今天 13:52,10k-20k,6636,携程,携程计算机技术（上海）有限公司
45,2894000,自动化测试工程师,上海,今天 10:18,15k-25k,34683,买单侠,上海秦苍信息科技有限公司
46,3038374,自动化测试工程师,上海,今天 10:25,13k-25k,51480,饿了么,拉扎斯网络科技（上海）有限公司
47,900020,自动化测试,杭州,今天 09:23,13k-25k,8169,点我达,点我达网络科技有限公司
48,3069721,自动化测试工程师,北京,昨天 18:37,15k-20k,3786,宜信,普信恒业科技发展（北京）有限公司
49,2534274,自动化测试,上海,2017-04-24,10k-20k,87314,景源金服,上海景源金融信息服务有限公司
50,2730219,自动化测试,深圳,今天 13:55,15k-25k,105664,诚迈,诚迈科技有限公司（深圳）
51,2997620,自动化测试,上海,2017-04-28,10k-15k,156748,Altenchina,欧立腾（北京）技术咨询有限公司上海分公司
52,2568577,自动化测试,上海,2017-04-28,11k-22k,14093,瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司
53,2385656,自动化测试,深圳,今天 08:30,15k-25k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
54,3051787,自动化测试工程师,杭州,昨天 14:06,8k-16k,59463,LOCKet,杭州臻至科技有限公司
55,2751075,高级自动化测试,上海,今天 09:12,18k-23k,53654,上海安能物流有限公司,上海安能聚创供应链管理有限公司
56,2969968,自动化测试,北京,昨天 11:56,18k-25k,24561,国美互联网,国美在线电子商务有限公司
57,1877742,自动化测试,成都,昨天 09:22,10k-13k,21935,上海西信,上海西信信息科技有限公司
58,3013886,自动化测试工程师,上海,昨天 13:17,15k-20k,129681,票易通,上海云砺信息科技有限公司
59,2699948,自动化测试工程师,上海,今天 11:12,20k-35k,26962,上海你我贷互联网金融信息服务,嘉银（上海）金融信息服务有限公司
60,3011442,自动化测试,上海,2017-04-28,9k-18k,14093,瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司
61,2221136,自动化测试工程师,上海,今天 11:05,8k-15k,30830,哔哩哔哩,上海幻电信息科技有限公司
62,3044052,自动化测试工程师,北京,今天 10:53,15k-25k,69146,北京辰森世纪科技股份有限公司,北京辰森世纪科技股份有限公司
63,2977495,自动化测试工程师,广州,今天 08:51,8k-16k,175736,新的美地,广州新的美地电子科技有限公司
