,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2784876,NLP,北京,昨天 14:47,25k-40k,82991,数美,北京数美时代科技有限公司
1,2897853,自然语言处理,北京,2017-05-01,18k-28k,3950,销售易,仁科互动（北京）信息科技有限公司
2,1469823,自然语言处理,北京,今天 09:55,15k-30k,113715,东芝(中国)有限公司,东芝(中国)有限公司
3,2549005,自然语言处理,北京,今天 10:57,25k-50k,37446,APUS Group,北京麒麟合盛科技有限公司
4,1795456,自然语言处理,北京,今天 12:34,25K-50K,63714,粉笔网,北京粉笔蓝天科技有限公司
5,1891476,自然语言处理（上下文）,北京,今天 10:21,25k-50k,23004,图灵机器人,北京光年无限科技有限公司
6,2450103,自然语言处理,上海,昨天 17:07,20k-35k,1373,喜马拉雅,上海证大喜马拉雅网络科技有限公司
7,2409510,自然语言处理,北京,昨天 16:27,20k-40k,61921,人人行(借贷宝),人人行科技有限公司
8,2567840,自然语言处理工程师,杭州,2017-04-26,10k-20k,35559,亲宝宝,杭州点望科技有限公司
9,3034942,自然语言处理、语言助手资深算法工程师/专家,北京,今天 09:49,25k-50k,50702,美团点评,北京三快在线科技有限公司
10,2218168,自然语言处理工程师,南京,昨天 11:32,12k-24k,13789,扇贝,南京贝湾教育科技有限公司
11,2835607,算法工程师（NLP）,珠海,今天 10:49,10k-20k,32979,小源科技,珠海市小源科技有限公司
12,3034721,自然语言处理工程师【NLP】,上海,今天 09:31,30k-50k,7030,触宝科技,上海触乐信息科技有限公司
13,3008845,自然语言处理,北京,昨天 11:15,15k-30k,25056,无二之旅,北京无二之旅文化传播有限公司
14,817799,自然语言处理研究员,苏州,昨天 17:31,15k-30k,94,思必驰科技,苏州思必驰信息科技有限公司
15,3070914,自然语言处理,北京,昨天 14:47,25k-50k,82991,数美,北京数美时代科技有限公司
16,2973516,NLP,北京,2017-05-01,20k-35k,3950,销售易,仁科互动（北京）信息科技有限公司
17,2955532,自然语言处理工程师,北京,今天 10:04,15k-30k,50702,美团点评,北京三快在线科技有限公司
18,2615690,自然语言处理研发工程师,上海,昨天 11:46,15k-30k,97882,达观数据,达而观信息科技（上海）有限公司
19,2781195,自然语言处理工程师,北京,昨天 10:49,20k-30k,133,猎豹移动,北京金山网络科技有限公司
20,2988599,自然语言处理,上海,今天 10:43,13k-25k,177653,二二一数据,二二一数据有限公司
21,2474810,自然语言处理,北京,昨天 10:44,30k以上,1686,爱奇艺,北京爱奇艺科技有限公司
22,2605623,自然语言处理,深圳,昨天 16:49,30k-50k,54631,丝路天地,深圳丝路天地电子商务有限公司
23,2766277,技术总监（语义理解/NLU/NLP）,北京,2017-05-01,25k-50k,356,捷通华声,北京捷通华声科技股份有限公司
24,3063370,自然语言处理,北京,昨天 15:25,20k-25k,1575,百度,百度在线网络技术（北京）有限公司
25,1017326,自然语言处理工程师,上海,昨天 14:50,20k-40k,88978,海知智能,上海海知智能科技有限公司
26,3066380,IRA-自然语言处理工程师,广州,昨天 13:52,10k-15k,35507,财略金融科技,广州财略金融信息科技有限公司
27,2105186,自然语言处理,北京,2017-05-01,15k-30k,3038,Gridsum 国双,北京国双科技有限公司
28,2012102,自然语言处理工程师,北京,昨天 17:37,20k-40k,2474,滴滴出行,北京小桔科技有限公司
29,2220387,自然语言处理-NLP,深圳,今天 10:50,15k-30k,99307,中科乐创,深圳前海中科乐创基金管理有限公司
30,3070912,自然语言处理,北京,昨天 14:47,25k-50k,82991,数美,北京数美时代科技有限公司
31,2105190,NLP工程师,北京,2017-05-01,15k-30k,3038,Gridsum 国双,北京国双科技有限公司
32,2775579,自然语言处理研发工程师,杭州,今天 09:49,15k-30k,54525,达西科技,杭州达西科技有限公司
33,1771235,自然语言处理工程师,北京,今天 09:02,15k-30k,62802,灵伴科技,北京灵伴未来科技有限公司
34,2705781,自然语言处理专家,深圳,昨天 10:02,35k-70k,129877,航仕科技,上海航仕企业管理有限公司
35,3019975,自然语言处理工程师,广州,昨天 08:57,10k-20k,20473,广州棒谷网络科技有限公司,广州棒谷网络科技有限公司
36,2384736,自然语言处理工程师,北京,今天 11:09,25k-45k,50604,roobo,北京智能管家科技有限公司
37,3060439,自然语言处理工程师,深圳,今天 09:45,15k-30k,82377,菁优网,深圳市菁优网络科技有限公司
38,3004380,自然语言处理/算法工程师,北京,昨天 15:39,25k-40k,3112,沪江,沪江教育科技（上海）股份有限公司
39,2391694,文本挖掘/自然语言处理,郑州,2017-05-01,5k-10k,64166,大河网,大河网络传媒有限公司
40,696737,自然语言处理,北京,今天 09:30,15k-30k,27983,中科汇联,北京中科汇联科技股份有限公司
41,3077404,NLP工程师,北京,今天 11:26,10k-20k,118287,信和财富,信和惠民投资管理（北京）有限公司
42,2415218,自然语言处理,苏州,2017-04-24,15k-30k,35384,智慧芽,智慧芽信息科技（苏州）有限公司
43,1758648,自然语言处理工程师NLP,成都,今天 09:43,10k-20k,42711,BBD,成都数联铭品科技有限公司
44,2393033,自然语言处理,北京,今天 09:26,10k-20k,9995,北京天融信公司,北京天融信网络安全
45,1638593,初级自然语言处理,北京,2017-05-01,10k-20k,3038,Gridsum 国双,北京国双科技有限公司
46,2798723,NLP研发工程师,北京,昨天 14:47,25k-50k,82991,数美,北京数美时代科技有限公司
47,3065536,NLP工程师,北京,今天 10:27,10k-20k,118287,信和财富,信和惠民投资管理（北京）有限公司
48,2909444,自然语言处理研发工程师,上海,今天 11:51,18k-36k,51480,饿了么,拉扎斯网络科技（上海）有限公司
49,2050292,腾讯文学-自然语言处理研究员(北京),北京,昨天 10:14,15k-30k,28243,阅文集团,上海阅闻信息技术有限公司
50,1818186,高级自然语言处理（NLP)工程师,北京,今天 10:11,15k-30k,8279,渡鸦科技,北京瑞酷创新科技有限公司
51,3053249,自然语言处理工程师/技术专家,北京,今天 09:49,25k-50k,50702,美团点评,北京三快在线科技有限公司
52,2797457,高级算法工程师（自然语言处理方向）,北京,今天 09:31,30k-50k,2176,时光网-Mtime,影时光网络技术（北京）有限公司
53,2053580,自然语言处理专家,上海,今天 11:03,20k以上,98800,竹间智能科技(上海)有限公司,竹间智能科技（上海）有限公司
54,2978788,自然语言处理工程师,深圳,今天 08:30,20K-40K,112049,笨鸟社交深圳分公司,厦门笨鸟电子商务有限公司深圳分公司
55,2178393,NLP 研发工程师（北京）,北京,昨天 10:14,10k-20k,62831,明略数据,北京明略软件系统有限公司
