,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2841207,运维【徐汇区】,上海,今天 09:14,10k-20k,1738,有鱼金融科技,上海彩亿信息技术有限公司
1,139624,运维工程师,北京,2017-04-27,6k-12k,147,拉勾网,北京拉勾网络技术有限公司
2,2912394,运维工程师,杭州,今天 14:07,8k-15k,35980,车纷享,杭州车厘子智能科技有限公司
3,3029417,运维工程师,北京,今天 10:12,6k-8k,101912,互联新网,北京互联新网科技发展有限公司
4,2938929,资深运维工程师,北京,今天 11:11,25k-45k,106474,谱思,北京谱思科技有限公司
5,2647606,运维经理,上海,昨天 09:15,20k-30k,18233,智慧树网,上海卓越睿新数码科技有限公司
6,3006949,运维工程师,上海,今天 10:10,6k-10k,110103,稍息科技,上海稍息网络科技有限公司
7,2845684,运维专员,杭州,今天 08:47,6k-8k,65313,浙江保融,浙江保融科技有限公司
8,1910740,运维工程师,深圳,今天 10:00,6k-12k,117217,博悦科创,深圳市博悦科创科技有限公司
9,3024588,运维工程师,上海,昨天 11:50,6k-8k,165826,网鱼,上海网鱼信息科技有限公司
10,2780654,运维工程师,成都,昨天 18:10,6k-8k,114978,世纪阳天,成都世纪阳天科技有限公司
11,3058529,运维工程师,昆明,今天 09:40,5k-6k,54563,本元支付,云南本元支付管理有限公司
12,2687058,运维,深圳,昨天 11:14,6k-8k,163169,文思海辉,文思海辉技术有限公司
13,1864288,运维工程师,广州,今天 11:09,10k-15k,27126,考拉先生,广州市考拉先生网络科技有限公司
14,2036750,运维工程师,珠海,今天 10:49,8k-12k,32979,小源科技,珠海市小源科技有限公司
15,3021739,运维工程师（漕河泾开发区）,上海,今天 09:14,10k-20k,1738,有鱼金融科技,上海彩亿信息技术有限公司
16,2999792,运维开发工程师,北京,2017-04-27,15k-25k,147,拉勾网,北京拉勾网络技术有限公司
17,2981585,运维工程师,深圳,2017-04-26,8k-10k,117217,博悦科创,深圳市博悦科创科技有限公司
18,2898569,运维开发工程师,北京,今天 10:09,15k-25k,61249,云鸟科技,北京云鸟科技有限公司
19,2073913,运维工程师,杭州,昨天 15:09,8k-12k,35359,爱客仕,爱客仕网络科技有限公司
20,3074716,运维开发,北京,今天 09:56,12k-22k,84244,诸葛io,北京诸葛云游科技有限公司
21,2973375,运维工程师,杭州,今天 09:40,10k-16k,593,边锋,杭州边锋网络技术有限公司
22,3072542,运维经理,北京,今天 09:16,25k-35k,98285,国美金控,国美金控投资有限公司
23,3060547,资深运维专家,杭州,今天 08:49,25k-35k,114555,PingPong金融,杭州呯嘭智能技术有限公司
24,3036202,运维专员,广州,今天 08:26,6k-12k,170362,广东百姓堂,广东百姓堂健康管理咨询有限公司
25,2433194,运维经理,北京,今天 10:12,8k-15k,101912,互联新网,北京互联新网科技发展有限公司
26,2970320,DBA（运维）,上海,昨天 10:01,15k-25k,30843,ezbuy,前海煦逸信息技术（深圳）有限公司
27,3053440,运维工程师,苏州,昨天 16:57,8k-15k,31775,若水网络,苏州市若水网络科技股份有限公司
28,3034057,运维开发工程师,上海,昨天 16:26,10k-18k,49527,路路由,上海路路由信息技术有限公司
29,2068330,运维开发工程师,上海,今天 10:18,15k-25k,34683,买单侠,上海秦苍信息科技有限公司
30,2572786,运维,上海,今天 09:14,10k-20k,1738,有鱼金融科技,上海彩亿信息技术有限公司
31,2488828,运维工程师,深圳,今天 14:08,8k-16k,117217,博悦科创,深圳市博悦科创科技有限公司
32,2738593,运维工程师,广州,今天 11:58,6k-10k,6356,兼职猫,广州九尾信息科技有限公司
33,2531969,运维,杭州,今天 10:21,6k-12k,20091,中电博亚,北京中电博亚科技有限公司
34,2898572,运维工程师,北京,今天 10:09,15k-25k,61249,云鸟科技,北京云鸟科技有限公司
35,3058300,运维工程师,石家庄,今天 09:16,4k-8k,133697,品智科技,石家庄品智科技有限公司
36,1880500,运维工程师,广州,今天 09:47,6k-8k,33956,君海游戏,广州君海网络科技有限公司
37,3067155,运维工程师,北京,昨天 10:12,8k-10k,6764,AbleSky,能力天空科技（北京）有限公司
38,1077759,运维工程师,广州,今天 11:11,5k-10k,13553,广州游爱,广州游爱网络技术有限公司
39,2908033,运维工程师,合肥,今天 14:19,4k-7k,169477,天天爱车,安徽车之翼网络科技有限公司
40,1988032,运维工程师,杭州,今天 09:17,10k-20k,45503,华卓科技,杭州华卓信息科技有限公司
41,3068259,运维开发工程师,北京,今天 09:08,10k-20k,45121,易快报,北京合思信息技术有限公司
42,2471303,运维工程师,杭州,今天 08:59,8k-15k,148102,爱WiFi,浙江省公众信息产业有限公司无线运营分公司
43,2977494,运维开发,南京,今天 08:24,5k-9k,149034,弘历软件,北京骏嘉财通科技有限公司
44,3075410,IT运维,上海,昨天 18:06,6k-8k,21730,蜘蛛网,上海万丰文化传播有限公司
45,3057896,运维工程师（徐汇）,上海,今天 09:14,15k-25k,1738,有鱼金融科技,上海彩亿信息技术有限公司
46,1916286,运维工程师,深圳,今天 08:43,9k-13k,117217,博悦科创,深圳市博悦科创科技有限公司
47,2887220,实施/运维,昆明,昨天 16:00,8k-13k,25317,金证股份,深圳市金证科技股份有限公司
48,3059193,运维工程师,上海,昨天 08:50,3k-6k,149034,弘历软件,北京骏嘉财通科技有限公司
49,2987088,运维总监,广州,今天 09:01,20k-40k,4206,汇桔网,广州博鳌纵横网络科技有限公司
50,2680692,资深运维,上海,昨天 16:45,15k-25k,87314,景源金服,上海景源金融信息服务有限公司
51,3005793,运维经理,深圳,今天 13:35,18k-25k,50285,众禄金融,深圳众禄金融控股股份有限公司
52,2928020,运维工程师,上海,今天 09:20,10k-20k,36149,上海善林金融信息服务有限公司,善林（上海）金融信息服务有限公司
53,1676147,运维工程师,海口,昨天 18:42,5k-8k,5634,海航通信,海南海航信息技术有限公司
54,3058959,系统运维工程师,上海,今天 13:20,8k-15k,43378,趣医网,上海趣医网络科技有限公司
55,2857149,运维工程师,上海,今天 12:03,6k-7k,141434,拟酷科技,上海拟酷网络科技有限公司
56,1097988,运维开发工程师,上海,今天 10:18,10k-20k,34683,买单侠,上海秦苍信息科技有限公司
57,2415391,运维其它,上海,今天 09:18,4k-8k,12975,上海同道,上海同道信息技术有限公司
58,2903148,运维工程师,北京,今天 09:00,10k-20k,178037,方正手迹,天津方正手迹数字技术有限公司
59,2842692,云运维工程师,广州,今天 08:52,6k-8k,62627,广东亿迅,广东亿迅科技有限公司
