,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,139624,运维工程师,北京,2017-04-27,6k-12k,147,拉勾网,北京拉勾网络技术有限公司
1,2938929,资深运维工程师,北京,今天 11:11,25k-45k,106474,谱思,北京谱思科技有限公司
2,2912394,运维工程师,杭州,今天 14:07,8k-15k,35980,车纷享,杭州车厘子智能科技有限公司
3,3029417,运维工程师,北京,今天 10:12,6k-8k,101912,互联新网,北京互联新网科技发展有限公司
4,3006949,运维工程师,上海,今天 10:10,6k-10k,110103,稍息科技,上海稍息网络科技有限公司
5,3021739,运维工程师（漕河泾开发区）,上海,今天 09:14,10k-20k,1738,有鱼金融科技,上海彩亿信息技术有限公司
6,1910740,运维工程师,深圳,今天 10:00,6k-12k,117217,博悦科创,深圳市博悦科创科技有限公司
7,3024588,运维工程师,上海,昨天 11:50,6k-8k,165826,网鱼,上海网鱼信息科技有限公司
8,2780654,运维工程师,成都,昨天 18:10,6k-8k,114978,世纪阳天,成都世纪阳天科技有限公司
9,3058529,运维工程师,昆明,今天 09:40,5k-6k,54563,本元支付,云南本元支付管理有限公司
10,1864288,运维工程师,广州,今天 11:09,10k-15k,27126,考拉先生,广州市考拉先生网络科技有限公司
11,2073913,运维工程师,杭州,昨天 15:09,8k-12k,35359,爱客仕,爱客仕网络科技有限公司
12,2036750,运维工程师,珠海,今天 10:49,8k-12k,32979,小源科技,珠海市小源科技有限公司
13,2973375,运维工程师,杭州,今天 09:40,10k-16k,593,边锋,杭州边锋网络技术有限公司
14,2898572,运维工程师,北京,今天 10:09,15k-25k,61249,云鸟科技,北京云鸟科技有限公司
15,1850997,运维工程师,上海,今天 09:14,12k-24k,1738,有鱼金融科技,上海彩亿信息技术有限公司
16,2981585,运维工程师,深圳,2017-04-26,8k-10k,117217,博悦科创,深圳市博悦科创科技有限公司
17,3053440,运维工程师,苏州,昨天 16:57,8k-15k,31775,若水网络,苏州市若水网络科技股份有限公司
18,2738593,运维工程师,广州,今天 11:58,6k-10k,6356,兼职猫,广州九尾信息科技有限公司
19,1880500,运维工程师,广州,今天 09:47,6k-8k,33956,君海游戏,广州君海网络科技有限公司
20,3067155,运维工程师,北京,昨天 10:12,8k-10k,6764,AbleSky,能力天空科技（北京）有限公司
21,1077759,运维工程师,广州,今天 11:11,5k-10k,13553,广州游爱,广州游爱网络技术有限公司
22,3058300,运维工程师,石家庄,今天 09:16,4k-8k,133697,品智科技,石家庄品智科技有限公司
23,1988032,运维工程师,杭州,今天 09:17,10k-20k,45503,华卓科技,杭州华卓信息科技有限公司
24,2471303,运维工程师,杭州,今天 08:59,8k-15k,148102,爱WiFi,浙江省公众信息产业有限公司无线运营分公司
25,2908033,运维工程师,合肥,今天 14:19,4k-7k,169477,天天爱车,安徽车之翼网络科技有限公司
26,2903148,运维工程师,北京,今天 09:00,10k-20k,178037,方正手迹,天津方正手迹数字技术有限公司
27,3059193,运维工程师,上海,昨天 08:50,3k-6k,149034,弘历软件,北京骏嘉财通科技有限公司
28,2928020,运维工程师,上海,今天 09:20,10k-20k,36149,上海善林金融信息服务有限公司,善林（上海）金融信息服务有限公司
29,2857149,运维工程师,上海,今天 12:03,6k-7k,141434,拟酷科技,上海拟酷网络科技有限公司
30,2961617,运维工程师,上海,今天 09:14,10k-15k,1738,有鱼金融科技,上海彩亿信息技术有限公司
31,2488828,运维工程师,深圳,今天 14:08,8k-16k,117217,博悦科创,深圳市博悦科创科技有限公司
32,3067793,运维工程师,上海,昨天 08:49,3k-6k,149034,弘历软件,北京骏嘉财通科技有限公司
33,2045838,运维工程师,杭州,今天 10:28,8k-15k,23252,兑吧,杭州兑吧网络科技有限公司
34,3058959,系统运维工程师,上海,今天 13:20,8k-15k,43378,趣医网,上海趣医网络科技有限公司
35,1676147,运维工程师,海口,昨天 18:42,5k-8k,5634,海航通信,海南海航信息技术有限公司
36,2846359,运维工程师,杭州,今天 08:59,8k-15k,148102,爱WiFi,浙江省公众信息产业有限公司无线运营分公司
37,2783727,运维工程师,青岛,2017-05-01,5k-10k,7535,什么值得买,北京值得买科技股份有限公司
38,2832349,中高级运维工程师,北京,今天 13:04,15k-30k,84329,好好住,家宅融智（北京）科技有限公司
