,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2999792,运维开发工程师,北京,2017-04-27,15k-25k,147,拉勾网,北京拉勾网络技术有限公司
1,2068330,运维开发工程师,上海,今天 10:18,15k-25k,34683,买单侠,上海秦苍信息科技有限公司
2,2898569,运维开发工程师,北京,今天 10:09,15k-25k,61249,云鸟科技,北京云鸟科技有限公司
3,3034057,运维开发工程师,上海,昨天 16:26,10k-18k,49527,路路由,上海路路由信息技术有限公司
4,3068259,运维开发工程师,北京,今天 09:08,10k-20k,45121,易快报,北京合思信息技术有限公司
5,2365267,运维开发工程师,杭州,今天 08:59,10k-20k,148102,爱WiFi,浙江省公众信息产业有限公司无线运营分公司
6,2812227,运维开发工程师,广州,昨天 18:41,8k-14k,42632,卓动信息科技,广州卓动信息科技有限公司
7,3065816,运维开发工程师,杭州,2017-04-27,10k-20k,117274,DAHO Networks,中卫大河云联网络技术有限公司
8,2988731,运维开发工程师,北京,今天 10:06,20k-25k,2646,途游,在线途游（北京）科技有限公司
9,2411986,运维开发工程师,深圳,今天 08:43,7k-14k,117217,博悦科创,深圳市博悦科创科技有限公司
10,3061525,运维开发工程师,深圳,今天 14:06,12k-24k,917,极光,深圳市和讯华谷信息技术有限公司
11,2811043,运维开发工程师,济南,今天 09:34,10k-15k,67576,车满满,车满满（北京）信息技术有限公司
12,2961884,运维开发工程师,北京,昨天 14:36,15k-30k,1686,爱奇艺,北京爱奇艺科技有限公司
13,1558264,运维开发工程师,上海,今天 10:27,15k-25k,51480,饿了么,拉扎斯网络科技（上海）有限公司
14,2835468,运维开发工程师,深圳,今天 09:56,15k-25k,10267,脸萌科技,深圳市脸萌科技有限公司
15,1097988,运维开发工程师,上海,今天 10:18,10k-20k,34683,买单侠,上海秦苍信息科技有限公司
16,2494335,运维开发工程师,杭州,昨天 19:14,10k-20k,117274,DAHO Networks,中卫大河云联网络技术有限公司
17,2241095,运维开发工程师,上海,今天 10:25,15k-22k,51480,饿了么,拉扎斯网络科技（上海）有限公司
18,2803428,运维开发工程师,广州,今天 13:09,8k-15k,171609,蛮蛮云计算,蛮蛮天下（北京）网络科技有限公司
19,3077896,运维开发工程师,北京,今天 12:41,20k-30k,1686,爱奇艺,北京爱奇艺科技有限公司
20,2739520,运维开发工程师,上海,今天 14:07,18k-30k,83249,帜讯信息,上海帜讯信息技术股份有限公司
21,2665886,AWS 运维开发工程师,北京,今天 10:17,15k-25k,26508,iHandy,北京汉迪世纪科技有限公司
22,2987525,运维开发工程师,上海,今天 09:54,15k-25k,3564,同程旅游,同程网络科技股份有限公司
23,3076755,运维开发工程师,北京,今天 10:24,20k-40k,436,360,奇虎360科技有限公司
24,3033844,运维开发工程师,上海,今天 09:26,13k-20k,35112,中腾信,中腾信金融信息服务（上海）有限公司
25,2921978,运维开发工程师,上海,今天 09:12,10k-18k,43378,趣医网,上海趣医网络科技有限公司
26,3029229,运维开发工程师(高级/中级）,深圳,昨天 16:50,15k-25k,26088,深圳市丰巢科技有限公司,深圳市丰巢科技有限公司
27,3058961,运维开发工程师,苏州,2017-04-26,10k-20k,23398,极课大数据,江苏曲速教育科技有限公司
28,2488298,运维开发工程师,北京,今天 13:53,10k-20k,31395,灵雀云,北京凌云雀科技有限公司
29,2815966,运维开发工程师,北京,昨天 10:56,20k-30k,61249,云鸟科技,北京云鸟科技有限公司
30,1217273,运维开发工程师,上海,今天 10:18,10k-20k,34683,买单侠,上海秦苍信息科技有限公司
31,3076940,运维开发工程师,深圳,今天 10:43,12k-20k,7918,乐格信息,乐格商业咨询（深圳）有限公司
32,1799721,运维开发工程师,上海,昨天 14:22,20k-40k,21218,通联数据,通联数据股份公司
33,1074899,运维开发工程师,上海,昨天 09:11,15k-25k,59618,全程网络,商宴通（上海）网络科技有限公司
34,3033843,运维开发工程师,北京,今天 13:44,10k-20k,25592,新浪网,新浪网技术（中国）有限公司
35,2954346,运维开发工程师（杭州）,杭州,今天 13:25,6k-9k,30605,赢时胜软件,深圳市赢时胜信息技术股份有限公司
36,3058864,运维开发工程师,上海,今天 13:20,10k-18k,43378,趣医网,上海趣医网络科技有限公司
37,2288768,运维开发工程师,上海,昨天 09:55,25k-35k,4950,好买基金网（联想腾讯注资企业）,好买财富管理股份有限公司
38,864233,运维开发工程师,上海,昨天 11:59,10k-20k,165,UCloud,上海优刻得信息科技有限公司
39,3026122,运维开发工程师,杭州,昨天 09:15,10k-20k,10323,畅唐网络,浙江畅唐网络股份有限公司
40,2905991,运维开发工程师,苏州,昨天 17:32,10k-20k,94,思必驰科技,苏州思必驰信息科技有限公司
41,943775,运维开发工程师,上海,昨天 10:01,15k-30k,30843,ezbuy,前海煦逸信息技术（深圳）有限公司
42,1594487,运维开发工程师,杭州,今天 10:19,13k-25k,61921,人人行(借贷宝),人人行科技有限公司
43,3074716,运维开发,北京,今天 09:56,12k-22k,84244,诸葛io,北京诸葛云游科技有限公司
44,2398677,运维开发工程师,深圳,今天 09:02,15k-25k,142287,民投金服,武汉民投金融服务有限公司
45,1774933,运维开发工程师,上海,昨天 09:48,20k-30k,34683,买单侠,上海秦苍信息科技有限公司
46,2881209,运维开发工程师,北京,今天 09:15,10k-15k,70550,农信互联,北京农信互联科技有限公司
47,2469324,运维开发工程师,天津,2017-04-28,7k-14k,23453,基理科技,天津市基理科技股份有限公司
48,3065975,运维开发工程师&nbsp;,上海,今天 10:26,12k-24k,32799,钱牛牛,上海乾生乾金融信息服务有限公司
49,2584888,运维开发工程师,杭州,昨天 12:40,8k-16k,20493,新移传媒,浙江新华移动传媒有限公司
50,1838534,运维开发工程师,杭州,昨天 10:54,18k-30k,48687,魅族,珠海市魅族科技有限公司
51,1757801,运维开发工程师,武汉,昨天 09:48,10k-15k,171,航班管家,活力世纪科技（北京）有限公司
52,2977947,运维开发工程师,北京,昨天 09:46,10K-20K,86978,百望,百望股份有限公司
53,3029767,运维开发工程师,上海,今天 09:45,15k-25k,1499,学霸君,上海谦问万答吧云计算科技有限公司
54,2477507,MMU-运维开发工程师（深圳）,深圳,今天 12:13,10k-20k,165,UCloud,上海优刻得信息科技有限公司
55,2427447,运维开发工程师,深圳,2017-04-12,7k-13k,117217,博悦科创,深圳市博悦科创科技有限公司
56,329840,运维开发工程师,北京,昨天 11:48,15k-30k,534,京东金融,京东金融
57,3077076,运维开发工程师,北京,今天 10:56,15k-20k,22876,宏图世展,北京宏图世展网络科技服务有限公司
58,2767310,资深运维开发工程师,上海,今天 10:26,15k-25k,51480,饿了么,拉扎斯网络科技（上海）有限公司
59,2582558,运维开发工程师,杭州,今天 08:27,8k-16k,21236,微医集团,浙江康健绿线网络技术有限公司
60,868174,运维开发工程师,杭州,昨天 21:01,15k-25k,3864,51信用卡管家,杭州恩牛网络技术有限公司
61,2668836,运维开发工程师,成都,昨天 09:52,10k-18k,144307,雨墨游戏,成都雨墨科技有限公司
62,3063329,运维开发工程师,天津,昨天 08:54,5k-8k,69368,天津网络广播电视台,天津网络广播电视台有限公司
63,1091658,运维开发工程师,深圳,2017-04-27,15k-25k,24587,小赢科技,深圳市赢众通金融信息服务有限责任公司
64,915226,运维开发工程师,深圳,今天 08:38,7k-9k,48903,光汇石油,深圳光汇石油集团股份有限公司
65,2977494,运维开发,南京,今天 08:24,5k-9k,149034,弘历软件,北京骏嘉财通科技有限公司
66,2994555,资深运维开发工程师,北京,昨天 18:17,35k-45k,59251,映客直播,北京蜜莱坞网络科技有限公司
67,421364,运维开发工程师,北京,今天 11:09,15k-30k,50604,roobo,北京智能管家科技有限公司
68,2653416,运维开发工程师&nbsp;,成都,今天 09:48,10k-20k,57260,瑞数信息,瑞数信息技术(上海)有限公司
69,3074991,运维开发工程师,广州,昨天 17:13,8k-16k,199679,浩瀚汇通,广州浩瀚汇通信息科技有限公司
70,2852738,PPL-运维开发工程师,上海,昨天 15:57,15k-20k,165,UCloud,上海优刻得信息科技有限公司
71,2954291,运维开发工程师（南京）,南京,今天 13:25,6k-9k,30605,赢时胜软件,深圳市赢时胜信息技术股份有限公司
72,2759948,运维开发工程师,深圳,昨天 11:59,12k-23k,110936,掌玩网络,深圳市掌玩网络技术有限公司
73,2974118,运维开发工程师,西安,昨天 09:29,8k-10k,36760,Nova科技,西安诺瓦电子科技有限公司
74,1509185,运维开发工程师,北京,今天 10:04,20k-35k,107423,瓜子二手车直卖网,车好多旧机动车经纪(北京)有限公司
75,3072615,运维开发工程师,上海,今天 09:59,13k-25k,16659,蘑菇租房,上海墨果资产管理有限公司
76,3029809,高级运维开发工程师,上海,昨天 13:09,20k-25k,11971,天玑科技,上海天玑科技股份有限公司
