,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2987088,运维总监,广州,今天 09:01,20k-40k,4206,汇桔网,广州博鳌纵横网络科技有限公司
1,3034013,运维总监,杭州,2017-04-27,30k-60k,16319,电魂网络,杭州电魂网络科技股份有限公司
2,2294804,运维总监,南京,2017-04-25,15k-25k,32179,南京领添,南京领添信息技术有限公司
3,2739562,运维总监,上海,今天 14:07,25k-40k,83249,帜讯信息,上海帜讯信息技术股份有限公司
4,2762053,平台运维总监,北京,今天 09:59,25k-50k,356,捷通华声,北京捷通华声科技股份有限公司
5,3057280,运维总监,北京,昨天 10:37,25k-30k,164253,开课吧,北京开课吧科技有限公司
6,1758804,运维总监,杭州,今天 09:23,30k-50k,8169,点我达,点我达网络科技有限公司
7,1632754,运维总监,北京,今天 09:46,35k-60k,104947,国美控股集团,国美控股集团有限公司
8,2828834,运维总监,深圳,2017-04-28,40k-50k,2850,深圳市泰久信息系统股份有限公司,深圳市泰久信息系统有限公司
9,3031490,运维总监（北京）,北京,2017-04-18,15k-25k,128835,沐融科技,北京沐融信息科技有限公司
10,2901622,运维总监,深圳,2017-04-27,20k-30k,2796,梦网科技,深圳市梦网科技股份有限公司
11,2918844,运维总监,北京,2017-04-17,25k-50k,7292,畅聊天下(派派交友）,北京畅聊天下科技有限公司
12,2835629,运维总监,北京,今天 10:19,25k-40k,6983,雷尚科技,雷尚（北京）科技有限公司
13,2333901,运维总监,深圳,昨天 10:12,25k-32k,89077,爱商在线,深圳市爱商在线科技有限公司
14,3009889,运维总监,北京,2017-04-12,35k-50k,23039,好大夫在线,互动峰科技(北京)有限公司
15,3072413,运维总监/高级运维经理,上海,今天 09:55,25k-40k,83249,帜讯信息,上海帜讯信息技术股份有限公司
16,2397941,应用运维总监,北京,今天 09:46,20k-40k,104947,国美控股集团,国美控股集团有限公司
17,2720192,运维总监,深圳,2017-04-06,30k-45k,146817,前海联动云,深圳前海联动云汽车租赁有限公司
18,3061122,运维总监（主管或以上级别）,北京,2017-04-26,15k-25k,6364,新华网,新华网股份有限公司
19,3052678,运维总监,深圳,昨天 13:29,50k-75k,49650,深圳市福客餐饮管理服务有限公司,长城宽带网络服务有限公司深圳分公司
20,3070307,运维总监,北京,2017-04-28,30K-50K,162118,云脊智能,北京云脊智能科技有限公司
21,2675484,商户运维总监（银行卡收单）,北京,2017-04-17,30k-50k,139802,银盈通,银盈通支付有限公司
22,3040289,手游服务器运维总监,上海,2017-04-20,15k-30k,41548,亿马联盟,上海风格信息技术股份有限公司
23,3045461,linux运维总监（18K-25K）,西安,2017-04-26,18k-30k,155918,西安优音通信有限公司,西安优音通信有限公司
24,3072553,高级运维经理/运维总监,上海,今天 09:54,22k-35k,83249,帜讯信息,上海帜讯信息技术股份有限公司
