,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2647606,运维经理,上海,昨天 09:15,20k-30k,18233,智慧树网,上海卓越睿新数码科技有限公司
1,2433194,运维经理,北京,今天 10:12,8k-15k,101912,互联新网,北京互联新网科技发展有限公司
2,3072542,运维经理,北京,今天 09:16,25k-35k,98285,国美金控,国美金控投资有限公司
3,3005793,运维经理,深圳,今天 13:35,18k-25k,50285,众禄金融,深圳众禄金融控股股份有限公司
4,2739564,运维经理,上海,今天 14:07,22k-35k,83249,帜讯信息,上海帜讯信息技术股份有限公司
5,2618162,运维经理（游戏）,深圳,今天 09:06,15k-30k,136833,史蒂夫软件,史蒂夫软件（深圳）有限公司
6,2983712,线下运维经理,北京,今天 09:46,10k-15k,139802,银盈通,银盈通支付有限公司
7,3064291,运维经理,广州,今天 08:56,15k-25k,181248,金科娱乐,浙江金科娱乐文化股份有限公司
8,2947723,运维经理,上海,今天 10:47,25k-30k,35796,易路,上海易路软件有限公司
9,2894006,运维经理（M2）,上海,今天 10:18,20k-25k,34683,买单侠,上海秦苍信息科技有限公司
10,3052193,运维经理,北京,昨天 11:02,20k-40k,19243,趣店,趣分期（北京）信息技术有限公司
11,1621748,运维经理,深圳,今天 09:27,10k-20k,11885,世联行,深圳世联行地产顾问股份有限公司
12,3066700,高级运维经理,上海,昨天 21:33,20k-40k,50702,美团点评,北京三快在线科技有限公司
13,2530192,运维经理,深圳,今天 11:10,15k-25k,101,迅雷,深圳市迅雷网络技术有限公司
14,3063464,运维经理,深圳,今天 09:57,15k-25k,6718,珍爱网,深圳市珍爱网信息技术有限公司
15,3074491,系统运维经理,北京,昨天 16:23,20k-30k,98285,国美金控,国美金控投资有限公司
16,3052195,运维经理,北京,2017-04-27,25k-40k,19243,趣店,趣分期（北京）信息技术有限公司
17,1887933,运维经理,广州,昨天 09:31,15k-30k,12195,要出发,广州酷旅旅行社有限公司
18,2996114,运维经理,杭州,2017-04-27,20k-35k,16319,电魂网络,杭州电魂网络科技股份有限公司
19,2947137,高级运维经理,北京,今天 10:57,25k-30k,9955,学堂在线,北京慕华信息科技有限公司
20,2157273,运维经理,上海,2017-04-07,8k-12k,116690,格林豪泰,格林豪泰酒店（中国）有限公司
21,318142,运维经理,杭州,2017-04-25,10k-20k,23599,触手,杭州开迅科技有限公司
22,2866129,运维经理,深圳,2017-04-07,18k-30k,50285,众禄金融,深圳众禄金融控股股份有限公司
23,3077567,运维经理/高级运维工程师,深圳,今天 11:39,10k-20k,10941,和而泰,深圳和而泰智能控制股份有限公司
24,2774983,运维经理,北京,今天 09:46,15k-25k,104947,国美控股集团,国美控股集团有限公司
25,2044292,运维经理,广州,昨天 14:38,18k-22k,126743,全民快乐,北京全民快乐科技有限公司
26,3045370,运维经理(J10487),上海,2017-04-21,25k-40k,27155,维信金融科技集团,上海维信荟智金融科技有限公司
27,2455929,运维经理,北京,昨天 09:20,20k-40k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
28,2654058,运维经理,上海,2017-04-18,20k-30k,82556,瑛麒动漫,上海瑛麒动漫科技有限公司
29,2843079,运维经理,上海,2017-04-06,25k-30k,128072,集商网络,集商网络科技（上海）有限公司
30,2885845,技术运维经理,杭州,2017-04-27,15k-25k,16319,电魂网络,杭州电魂网络科技股份有限公司
31,1887939,IT运维经理,广州,今天 09:30,15k-30k,12195,要出发,广州酷旅旅行社有限公司
32,2397602,应用运维经理,北京,今天 09:46,15k-20k,104947,国美控股集团,国美控股集团有限公司
33,2796973,高级运维经理,深圳,昨天 09:47,25k-30k,6718,珍爱网,深圳市珍爱网信息技术有限公司
34,2599450,运维经理（自动化运维）/资深自动化运维专家,上海,2017-04-25,15k-25k,63922,麦子金服,上海麦子资产管理有限公司
35,3023032,高级运维经理,广州,2017-04-17,30k-40k,4760,唯品会,唯品会（中国）有限公司
36,3072413,运维总监/高级运维经理,上海,今天 09:55,25k-40k,83249,帜讯信息,上海帜讯信息技术股份有限公司
37,2326251,YW-高级运维经理,北京,昨天 09:44,15k-30k,994,国广东方网络（北京）有限公司,国广东方网络（北京）有限公司
38,2825900,DBA运维经理,广州,今天 09:22,8k-16k,46854,佰锐科技,广州佰锐网络科技有限公司
39,3004467,运维经理,北京,2017-04-14,20k-30k,59469,云房数据,北京云房数据技术有限责任公司
40,3024773,系统运维经理,北京,2017-04-17,15k-25k,1650,联想集团,联想（北京）有限公司
41,3006079,运维经理（电商）,广州,今天 09:55,15k-18k,68910,健康猫,广州大象健康科技有限公司
42,2975923,运维经理,长沙,昨天 09:49,6k-9k,184240,东方新诚信,东方新诚信数字认证中心有限公司
43,3006485,运维经理/总监,北京,今天 08:38,18k-25k,5812,用友,用友网络科技股份有限公司
44,2803225,运维经理,北京,2017-04-28,25k-30k,40459,SenseTime,北京市商汤科技开发有限公司
45,1850278,运维经理,北京,今天 09:46,15k-30k,104947,国美控股集团,国美控股集团有限公司
46,3072553,高级运维经理/运维总监,上海,今天 09:54,22k-35k,83249,帜讯信息,上海帜讯信息技术股份有限公司
47,2997110,运维经理（电商）,上海,昨天 09:26,25k-35k,35179,东方财富,东方财富信息股份有限公司
48,2849925,IT运维经理,北京,2017-04-25,15k-30k,100054,Base FX,北京倍飞视国际视觉艺术交流有限公司
49,3014675,运维经理（金融云）,上海,昨天 09:46,25k-35k,63922,麦子金服,上海麦子资产管理有限公司
50,2776663,运维经理,上海,昨天 10:10,20k-40k,110557,目友广告文化传播,上海目友文化传播工作室
51,2312251,运维经理（devops）,北京,昨天 14:25,20k-30k,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司
52,2764120,云计算运维经理,上海,今天 09:42,20k-30k,22809,驻云,上海驻云信息科技有限公司
53,1752315,运维经理,北京,2017-04-26,15k-25k,24077,白鹭时代,北京白鹭时代信息技术有限公司
54,2895258,运维经理,佛山,2017-04-24,15k-20k,34879,广东艾科,广东艾科技术股份有限公司
55,2419503,运维经理,广州,2017-04-27,8k-16k,115298,洛克韦陀,广州洛克韦陀安防科技有限公司
56,2089437,运维经理,北京,2017-04-29,20k-30k,3234,孔夫子旧书网,北京古城堡图书有限公司
57,2812660,运维经理,广州,昨天 10:19,10k-15k,14219,ipiao 娱乐猫 票量,广州票量商务服务有限公司
58,2661021,运维经理,北京,昨天 09:29,12k-20k,148220,亚联之星,北京亚联之星信息技术有限公司
59,2855694,运维经理,杭州,2017-04-13,9k-18k,131081,庭好的,杭州庭好数字科技有限公司
60,2372272,运维经理/总监,北京,今天 09:46,25k-45k,104947,国美控股集团,国美控股集团有限公司
61,2828981,运维经理,北京,昨天 11:46,8k-10k,135895,慧数合伙,北京慧数科技合伙企业（有限合伙）
62,2671631,基础架构运维经理,深圳,今天 09:33,20k-30k,62363,万科,万科企业股份有限公司
63,1776818,网络运维经理,上海,2017-04-26,10k-20k,19409,有孚网络,上海有孚网络股份有限公司
64,1322546,技术运维经理,广州,昨天 09:09,8k-10k,43341,广州英虎网络股份有限公司,广州英虎网络股份有限公司
65,3034936,运维经理,北京,今天 10:15,25k-40k,138016,通恒科技,北京通恒思华科技有限公司
66,3026300,IT运维经理,长沙,2017-04-27,6k-9k,161436,客如云,客如云科技（北京）股份有限公司长沙站
67,3034793,运维经理,北京,今天 10:27,25k-40k,182232,立事科技,北京立事科技有限公司
68,2984882,DevOps运维经理,北京,2017-04-06,15k-25k,30118,影谱科技,北京影谱科技股份有限公司
69,3062015,运维经理,北京,2017-04-26,12k-18k,177234,京师雅颂,京师雅颂（北京）国际教育咨询有限公司
70,2826705,云计算运维经理,深圳,2017-04-24,25k-50k,67118,达闼科技,达闼科技（北京）有限公司
71,2656154,高级安全运维经理/主管,上海,今天 10:38,25k-35k,5918,驴妈妈旅游网,上海景域文化传播股份有限公司
72,3051249,运维经理,深圳,2017-04-27,9k-15k,171370,图灵,深圳图灵技术有限公司
73,2705703,运维经理,武汉,2017-04-26,15k-20k,149519,优世联合控股集团,广东优世联合控股集团股份有限公司
74,3023789,运维经理,北京,2017-04-17,15k-30k,85323,北京奇鱼时代科技有限公司,北京奇鱼时代科技有限公司
75,3075636,应用运维经理/副总监,北京,今天 09:46,18k-30k,104947,国美控股集团,国美控股集团有限公司
76,2685148,安全运维经理,上海,2017-04-20,15k-25k,5918,驴妈妈旅游网,上海景域文化传播股份有限公司
77,2818628,信息技术部高级运维经理,北京,昨天 13:12,15k-20k,68278,博时基金管理有限公司,博时基金管理有限公司
78,3032566,网站运维经理,贵阳,2017-04-19,4k-7k,182158,多彩博虹,贵州多彩博虹科技有限公司
79,3025823,运维经理,北京,2017-04-26,7k-11k,20439,集联软件,北京集联软件科技有限公司
80,2626863,运维经理,上海,2017-04-10,10k-20k,7630,久游,上海久游网络科技有限公司
81,3028032,网络运维经理,深圳,2017-04-25,6k-12k,103179,尚德机构,深圳市尚德机构
82,3024682,运维经理/主管,上海,2017-04-18,15k-25k,13997,致胜盈彩网络科技有限公司,致胜盈彩网络科技有限公司
83,3041590,IT运维经理,广州,2017-04-20,5K-10K,196039,轻码科技,广州市轻码科技有限公司
84,2726707,IDC运维专员/运维经理,上海,2017-04-05,15k-20k,54038,旭森国际集团,上海旭森世纪投资有限公司
85,2997226,高级系统运维经理,长沙,2017-04-10,20k-30k,164395,湖南三湘银行,湖南三湘银行股份有限公司
86,2768485,linux系统运维经理,北京,2017-04-27,15k-25k,52853,联宇益通,北京联宇益通科技发展有限公司
87,3030899,云平台运维经理/副总监(001047),北京,今天 09:46,18k-30k,104947,国美控股集团,国美控股集团有限公司
