,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2985923,项目助理,北京,2017-04-25,6k-8k,147,拉勾网,北京拉勾网络技术有限公司
1,2724097,项目助理,北京,今天 15:02,5k-8k,356,捷通华声,北京捷通华声科技股份有限公司
2,2503582,项目运营 / 项目专员,杭州,今天 14:38,4k-6k,115852,投融谱华互联网金融,杭州投融谱华互联网金融服务有限公司
3,3049009,项目助理,深圳,昨天 10:24,4k-8k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
4,446978,项目专员,武汉,今天 10:57,6k-10k,7936,武汉安天,武汉安天信息技术有限责任公司
5,3071657,项目助理,深圳,今天 09:02,4k-6k,70037,引导美,深圳市引导美电子商务有限公司
6,2877265,项目助理,梅州,今天 09:12,2k-4k,31889,越亮传奇,越亮传奇科技股份有限公司
7,2535851,项目助理,上海,今天 10:39,5k-8k,19585,上海真己化人教育科技有限公司,上海真己化人教育科技有限公司
8,2825540,项目助理,上海,今天 09:18,4k-8k,12975,上海同道,上海同道信息技术有限公司
9,3045454,项目助理,上海,2017-04-21,5k-7k,50094,WallTech,上海沃行信息技术有限公司
10,2942311,项目助理,上海,昨天 10:33,4k-6k,118663,毅诺网络科技,毅诺网络科技（上海）有限公司
11,3075815,项目助理,北京,今天 11:01,8k-10k,7182,尚德机构,北京尚佳崇业教育科技有限公司
12,2685141,项目专员,昆明,今天 10:57,6k-12k,9955,学堂在线,北京慕华信息科技有限公司
13,2163642,项目专员,上海,今天 14:04,4k-6k,62239,新旦股份,上海新旦营销管理股份有限公司
14,3077405,项目助理,深圳,今天 11:26,6k-9k,62363,万科,万科企业股份有限公司
15,2898979,项目助理,上海,今天 10:42,2K-4K,72030,FlowerPlus,上海分尚网络科技有限公司
16,2569936,项目专员,上海,今天 10:18,8k-15k,34683,买单侠,上海秦苍信息科技有限公司
17,2966926,项目助理,北京,昨天 16:55,6k-10k,149913,厚本金融,北京厚本科技有限公司
18,3076140,项目助理,上海,今天 09:17,4k-7k,83805,班汇通,上海鲁班金融信息服务有限公司
19,2995921,项目助理（上海）,上海,昨天 16:00,7k-10k,25317,金证股份,深圳市金证科技股份有限公司
20,3077357,项目专员,北京,今天 11:22,6k-12k,7182,尚德机构,北京尚佳崇业教育科技有限公司
21,2696641,项目助理,成都,今天 09:35,2k-4k,105563,博智信息,成都博智维讯信息技术有限公司
