,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2960685,项目总监,杭州,昨天 08:36,20k-40k,35514,纳里健康,浙江纳里健康科技有限公司
1,2314883,项目总监,成都,今天 14:45,10k-15k,4184,思特奇Si-tech,北京思特奇信息技术股份有限公司
2,2480269,项目总监,广州,今天 10:20,16k-20k,24348,中大凯旋,广州中大凯旋电子科技有限公司
3,2784050,项目总监,深圳,昨天 14:50,15k-30k,129639,优加互联,深圳市优加互联科技有限公司
4,2693155,项目主管,广州,今天 09:03,6k-10k,126216,广州丰石科技,广州丰石科技有限公司
5,2620178,高级项目经理/项目总监,深圳,今天 09:52,25k-40k,111387,慧择网,深圳市慧择时代科技有限公司
6,2996926,项目总监,上海,2017-04-25,20k-40k,179248,远成集团,远成集团有限公司
7,2917865,项目总监,北京,昨天 15:47,20k-30k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
8,1799999,项目总监,西安,今天 09:48,20k-40k,5672,易流,深圳市易流科技有限公司
9,3018617,项目主管,北京,昨天 13:24,6k-12k,43462,云途腾,北京云途腾科技有限责任公司
10,2849447,项目主管,北京,昨天 14:22,8k-15k,24561,国美互联网,国美在线电子商务有限公司
11,2878932,项目总监,北京,今天 09:28,15k-20k,692,创业黑马,创业黑马（北京）科技股份有限公司
12,2800892,项目经理/项目主管,天津,2017-04-28,6k-10k,117309,iHealth中国研发中心,天津爱健康技术开发有限公司
13,2891978,项目总监,北京,今天 14:43,15k-30k,34452,动景网,北京大国慧谷科技股份有限公司
14,3062616,销售经理/项目主管,上海,2017-04-27,15K-30K,64556,米奥兰特,上海国际广告展览有限公司
15,1995540,项目总监,重庆,今天 14:44,10k-15k,4184,思特奇Si-tech,北京思特奇信息技术股份有限公司
16,3053287,项目主管,武汉,今天 10:47,5k-8k,160651,艺术品交易中心,武汉艺术品交易中心有限公司
17,1250836,项目主管,上海,2017-04-10,12k-18k,27155,维信金融科技集团,上海维信荟智金融科技有限公司
18,2914587,项目总监,北京,昨天 09:20,30k-50k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
19,1963204,项目总监（广州）,广州,2017-04-24,25k-35k,3038,Gridsum 国双,北京国双科技有限公司
