,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1709149,项目管理,杭州,今天 08:47,8k-12k,65313,浙江保融,浙江保融科技有限公司
1,2801583,项目管理,上海,今天 09:14,8k-15k,1738,有鱼金融科技,上海彩亿信息技术有限公司
2,2966324,项目管理,上海,今天 10:18,15k-25k,34683,买单侠,上海秦苍信息科技有限公司
3,2669625,项目管理,武汉,今天 09:39,8k-16k,89397,武汉物易云通网络科技,武汉物易云通网络科技有限公司
4,2928554,项目管理岗,北京,今天 09:14,8k-10k,72555,多点Dmall,多点生活（中国）网络科技有限公司
5,2740779,运营高级经理（项目管理）,北京,今天 09:13,20k-40k,147548,中信云网,中信云网有限公司
6,622846,项目管理,珠海,今天 10:49,7k-14k,32979,小源科技,珠海市小源科技有限公司
7,2964643,项目管理,杭州,昨天 21:01,15k-20k,3864,51信用卡管家,杭州恩牛网络技术有限公司
8,2804485,项目管理,深圳,2017-04-27,12k-18k,4210,神州信息,神州数码信息服务股份有限公司
9,2208062,项目管理工程师,深圳,今天 09:14,8k-15k,25317,金证股份,深圳市金证科技股份有限公司
10,2254787,高级项目管理,杭州,昨天 15:09,15k-20k,35359,爱客仕,爱客仕网络科技有限公司
11,3056137,项目管理,杭州,2017-04-27,10k-20k,16319,电魂网络,杭州电魂网络科技股份有限公司
12,2913007,项目管理经理,上海,昨天 15:23,17k-28k,35713,链家上海研发中心,德佑房地产经纪有限公司
13,2503610,项目管理,杭州,2017-04-27,10k-20k,4938,浙江溜达,浙江溜达网络科技有限公司
14,3012068,项目管理,北京,昨天 11:17,10k-20k,436,360,奇虎360科技有限公司
15,2353219,风控策略专员（项目管理）,上海,今天 10:18,7k-12k,34683,买单侠,上海秦苍信息科技有限公司
16,2773780,项目管理专员,杭州,昨天 16:43,5k-10k,33618,微贷网,微贷（杭州）金融信息服务有限公司
17,3056371,项目管理岗,深圳,今天 09:03,10k-20k,136005,招银前海金融,深圳市招银前海金融资产交易中心有限公司
18,2995892,项目管理经理,成都,今天 09:48,10k-20k,57260,瑞数信息,瑞数信息技术(上海)有限公司
19,3069902,项目管理经理,北京,昨天 09:07,15k-25k,50702,美团点评,北京三快在线科技有限公司
20,2149009,项目管理岗,深圳,今天 09:20,8k-15k,135243,试金石信用,试金石信用服务有限公司
21,1864022,项目管理,上海,昨天 13:35,10k-20k,165,UCloud,上海优刻得信息科技有限公司
22,2532069,项目管理实习生(PMO)-项目管理组(J10499),北京,今天 10:27,2k-4k,1970,去哪儿网,北京趣拿软件科技有限公司
23,2960191,项目管理工程师,深圳,今天 10:29,6k-8k,25317,金证股份,深圳市金证科技股份有限公司
24,2835337,项目管理（需出差）,深圳,昨天 15:44,10k-20k,6566,金蝶,金蝶软件（中国）有限公司
25,2756834,项目管理专员,成都,昨天 11:42,4k-8k,40916,无声,四川无声信息技术有限公司
26,1159596,项目经理（项目管理）,北京,今天 09:32,10k-20k,7641,科码先锋,北京科码先锋软件技术有限公司
27,3018782,项目管理经理,南宁,昨天 17:47,12k-14k,134645,中国东信,中国—东盟信息港股份有限公司
28,2575358,项目管理工程师,上海,2017-04-28,7k-13k,150106,Medtrum,上海移宇科技股份有限公司
29,2814799,项目管理助理,深圳,2017-04-27,8k-16k,87029,有鱼智能科技,深圳市有鱼智能科技有限公司
30,2988200,项目管理,西安,2017-05-01,7k-12k,180488,太白山网络公司,陕西太白山旅游网络科技有限公司
31,2902513,项目管理,惠州,昨天 15:04,9k-12k,179895,广东禧越,广东禧越网络科技有限公司
32,2862745,项目管理专员,杭州,昨天 16:43,5k-10k,33618,微贷网,微贷（杭州）金融信息服务有限公司
33,3025648,项目管理实习生,上海,昨天 09:48,2k-3k,45315,快钱,快钱支付清算信息有限公司
34,3074098,项目管理助理,武汉,昨天 15:44,4k-6k,63366,榆钱金融,北京榆钱投资管理有限公司
35,2081637,项目管理专员,嘉兴,今天 09:51,5k-7k,11527,蓝鸽集团,蓝鸽集团有限公司
36,3062659,资深AM（项目管理）,北京,今天 13:56,8k-15k,666,筷子科技,广州筷子信息科技有限公司
