,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3005348,项目经理,北京,2017-04-28,12k-18k,125449,智齿科技,北京智齿博创科技有限公司
1,2949828,项目经理,北京,昨天 19:03,12k-15k,152061,所思科技,北京所思信息科技有限责任公司
2,2906024,项目经理,上海,今天 09:32,7k-10k,52978,优雅广告,上海优雅广告有限公司
3,364408,项目经理,无锡,今天 10:54,8k以上,3246,帆软软件,南京帆软软件有限公司
4,2906151,项目经理,武汉,今天 09:47,10k-15k,41738,卡比特,武汉卡比特信息有限公司
5,2759767,项目经理,成都,今天 13:10,8k-16k,33646,久远银海,四川久远银海软件股份有限公司
6,2910492,项目经理,贵阳,今天 09:41,6k-12k,88751,广州中软,广州中软信息技术有限公司
7,1510076,项目经理,杭州,昨天 16:40,10k-20k,44019,氦氪,杭州第九区科技有限公司
8,2972214,项目经理,杭州,今天 09:59,10k-16k,84602,安存科技,杭州安存网络科技有限公司
9,1779999,项目经理,昆明,今天 09:44,10k-15k,67804,昆明俊云科技有限公司,昆明俊云科技有限公司
10,2897406,项目经理,南宁,今天 08:48,8k-16k,87913,中兴微品,深圳微品致远信息科技有限公司
11,827314,项目经理,广州,今天 14:24,10k-16k,61445,拓尔思,北京拓尔思信息技术股份有限公司广州分公司
12,3030517,项目经理,杭州,昨天 14:02,10k-20k,18655,大搜车,杭州大搜车汽车服务有限公司
13,1140401,项目经理,上海,今天 09:27,20k-25k,45421,天坊信息,上海天坊信息科技有限公司
14,2716228,项目经理,上海,昨天 17:13,8k-10k,22182,安正软件,广州安正软件股份有限公司
15,2935177,项目经理,北京,昨天 19:03,12k-15k,152061,所思科技,北京所思信息科技有限责任公司
16,364411,项目经理,南京,今天 10:54,8k以上,3246,帆软软件,南京帆软软件有限公司
17,3021901,项目经理,广州,今天 09:41,8k-12k,88751,广州中软,广州中软信息技术有限公司
18,3011594,项目经理,杭州,今天 09:55,15k-25k,91954,求是同创,杭州求是同创网络科技有限公司
19,1563066,项目经理,广州,昨天 16:51,9k-12k,7988,海鼎,上海海鼎信息工程股份有限公司
20,2911304,项目经理,武汉,今天 09:03,6k-10k,64988,顶点软件,福建顶点软件股份有限公司
21,3012208,项目经理,杭州,今天 10:32,15k-25k,90867,功夫贷,杭州大树网络技术有限公司
22,3061479,项目经理,杭州,今天 09:05,8k-15k,38306,阿拉丁信息科技,杭州阿拉丁信息科技股份有限公司
23,2953161,项目经理,北京,今天 08:51,7k-14k,181950,阳光快线,北京益美文化传媒有限公司
24,3036175,项目经理,上海,今天 11:25,15k-25k,146537,卓领通讯,上海卓领通讯技术有限公司
25,2314046,项目经理,北京,昨天 09:53,15k-25k,39394,飞天联合,飞天联合（北京）系统技术有限公司
26,2654752,项目经理,上海,今天 11:24,10k-15k,18787,左邻,深圳市永佳天成科技发展有限公司
27,2685156,项目经理,南宁,今天 10:57,6k-12k,9955,学堂在线,北京慕华信息科技有限公司
28,1995058,项目经理,太原,今天 10:28,8k-12k,4184,思特奇Si-tech,北京思特奇信息技术股份有限公司
29,2189627,项目经理,北京,昨天 14:25,12k-18k,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司
30,1328478,项目经理,福州,今天 09:03,6k-10k,64988,顶点软件,福建顶点软件股份有限公司
31,1702982,项目经理,成都,昨天 16:51,7k-10k,7988,海鼎,上海海鼎信息工程股份有限公司
32,2764239,项目经理,上海,今天 11:25,10k-13k,146537,卓领通讯,上海卓领通讯技术有限公司
33,3076556,招聘项目经理,广州,今天 10:04,8k-15k,147,拉勾网,北京拉勾网络技术有限公司
34,3019105,项目经理,苏州,昨天 17:31,10k-20k,94,思必驰科技,苏州思必驰信息科技有限公司
