,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1934971,驱动开发,深圳,今天 09:17,10k-20k,128547,超节点,深圳市超节点网络科技有限公司
1,690366,驱动开发工程师,上海,今天 11:28,20k-40k,57743,Ruff,上海南潮信息科技有限公司
2,2849211,驱动开发工程师,上海,今天 10:42,12k-18k,89076,HYPEREAL VR,上海幻触信息科技有限公司
3,1782743,驱动开发,深圳,2017-04-12,12k-20k,18971,传音控股,深圳传音控股有限公司
4,2225567,驱动开发,深圳,昨天 09:31,8k-12k,73978,视觉科技,深圳视觉科技有限公司
5,3074640,驱动开发工程师,北京,昨天 16:38,20k-30k,66474,北京淳中视讯科技有限公司,北京淳中视讯科技有限公司
6,2995600,驱动开发,厦门,2017-04-09,8K-10K,53336,米冠网络,厦门米冠网络科技有限公司
7,2987823,手机驱动开发,武汉,2017-04-28,9k-18k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
8,2073858,驱动开发,厦门,2017-04-17,5k-8k,137569,图巴智能人形机器人,厦门市图巴机器人有限公司
9,2351485,驱动开发,北京,今天 09:14,8k-16k,7351,诚迈科技,北京诚迈科技有限公司
10,1988659,驱动开发,上海,2017-04-18,10k-15k,31488,移康,移康智能科技（上海）有限公司
11,2424679,驱动开发,南京,2017-04-13,7k-14k,149119,翼辉信息,南京翼辉信息技术有限公司
12,1520864,Android内核和驱动开发工程,北京,昨天 09:42,15k-30k,42899,小蚁,上海小蚁科技有限公司
13,1632835,驱动开发,成都,2017-04-26,7k-14k,79903,银河风云,深圳市银河风云网络系统股份有限公司
14,342984,驱动开发工程师,成都,今天 09:24,7k-14k,23043,成都西可,成都西可科技有限公司
15,2752215,驱动开发工程师,杭州,2017-04-26,12k-24k,62377,潮流网络,深圳市潮流网络技术有限公司杭州分公司
16,2860939,计算机驱动开发,广州,昨天 10:47,15k-25k,100340,金山企业安全,广州金山安全管理系统技术有限公司
17,2683948,驱动开发工程师,杭州,昨天 14:23,7k-10k,163694,兰邻科技,杭州兰邻科技有限公司
18,2388301,驱动开发、DSP/单片机（高级）软件工程师,南京,2017-04-18,10k-20k,148524,诚思机器人,南京诚思机器人科技有限公司
19,1742383,驱动开发工程师,深圳,2017-04-28,8k-16k,72405,仝安,深圳仝安技术有限公司
20,2833679,安卓android底层/驱动开发工程师,深圳,昨天 08:54,8k-15k,92967,CEM,深圳华盛昌机械实业有限公司
21,1716004,C/C++ - Windows高级应用和驱动开发,西安,2017-04-05,5k-10k,124642,三茗科技（836595）,西安三茗科技股份有限公司
22,2846848,Ubuntu 驱动开发工程师,深圳,2017-04-11,7k-14k,174307,天智伟业,深圳市天智伟业科技有限公司
23,887643,软件驱动开发工程师,深圳,2017-04-22,6k-10k,24067,思路名扬,深圳思路名扬通讯技术有限公司
24,2860610,Camera驱动开发,上海,2017-04-20,10k-18k,156748,Altenchina,欧立腾（北京）技术咨询有限公司上海分公司
25,3049962,camera驱动开发,深圳,2017-04-28,13k-23k,163169,文思海辉,文思海辉技术有限公司
26,2969260,Linux驱动开发,上海,昨天 10:50,9k-18k,182091,赢谊科技,上海赢谊物联网科技有限公司
27,2960174,Linux驱动开发工程师,武汉,今天 09:27,12k-18k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
28,2736692,openwrt驱动开发工程师,烟台,今天 11:35,10k-18k,90001,艾欧特,山东艾欧特集团
29,3074691,Linux驱动开发工程师,上海,昨天 16:44,15k-27k,149434,上海华东电脑股份有限公司,上海华东电脑股份有限公司
30,1906784,windows驱动开发,成都,昨天 11:42,10k-15k,40916,无声,四川无声信息技术有限公司
31,3027129,中级Linux驱动开发,武汉,2017-04-26,10k-15k,52768,佰钧成技术,武汉佰钧成技术有限责任公司
32,1417384,嵌入式驱动开发工程师,上海,昨天 09:41,18k-32k,42899,小蚁,上海小蚁科技有限公司
33,2730126,Windows驱动开发工程师（郑州）,郑州,2017-04-24,8k-15k,33637,信大捷安,郑州信大捷安信息技术股份有限公司
