,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2757653,留学申请顾问（美国高端）,北京,昨天 07:55,8k-16k,110583,出出国,北京美华心成国际教育咨询有限公司
1,2223767,中高端顾问/测试顾问,深圳,2017-04-17,18K-22K,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
2,2660271,JAVA相关的中级/高级/架构师/技术专家等职位,北京,昨天 14:24,20k-40k,159418,奇玖,奇玖（北京）科技有限公司
3,1995413,高端技术职位其它,深圳,2017-04-11,5k-10k,63082,深圳易思博软件,深圳市易思博软件技术有限公司
4,3044180,高端制造、大健康、强周期性行业板块研究团队负责人,北京,2017-04-24,20k-30k,196188,北京大数长胜,北京大数长胜资产管理有限公司
5,2113969,高端SE,深圳,今天 13:52,25k-40k,105664,诚迈,诚迈科技有限公司（深圳）
6,3057132,BD主管/销售主管（市区高端方向）,上海,今天 09:30,10k-15k,12195,要出发,广州酷旅旅行社有限公司
7,2957504,招聘经理（中高端招聘）,北京,2017-04-27,12k-18k,19313,网宿科技,网宿科技股份有限公司北京分公司
8,2909563,专业高端顾问,北京,2017-04-17,6k-11k,124195,丽兹行,北京丽兹行房地产投资顾问有限公司
9,3021953,高端课程顾问,北京,昨天 15:00,6k-8k,65249,华本机构,北京华本商务俱乐部有限公司
10,3042930,高端服务顾问,合肥,2017-04-21,7K-10K,168798,珍爱网,深圳市珍爱网信息技术有限公司合肥分公司
11,3035157,服装高端顾问,深圳,今天 10:14,4k-6k,132148,名品制,深圳名家诚品科技有限公司
12,2960158,开发专员（中高端小区楼宇物业）,北京,昨天 09:36,5k-8k,142798,新潮传媒,北京新潮文化传媒有限公司
13,2363956,高端房产经纪人,北京,今天 09:26,10k-15k,46348,北京麦田,北京麦田房产经纪有限公司
14,2958733,媒介主管（奢侈品、高端时尚品牌）,上海,昨天 10:56,8k-15k,144392,上海要客,上海要客投资管理有限公司
15,2756943,留学咨询顾问（美国高端，欢迎后期顾问转岗）,北京,昨天 07:55,15k-30k,110583,出出国,北京美华心成国际教育咨询有限公司
16,2090492,PHPSE/中高端顾问/系统架构设计师,深圳,2017-04-13,18K-23K,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
17,2949275,【厦门职位】高级招聘专员,厦门,昨天 08:47,8k-15k,19313,网宿科技,网宿科技股份有限公司北京分公司
18,3026096,高端豪宅顾问,上海,2017-04-17,6k-9k,124195,丽兹行,北京丽兹行房地产投资顾问有限公司
19,3035574,高端服装助理,深圳,今天 10:14,3k-6k,132148,名品制,深圳名家诚品科技有限公司
20,2406439,高端客户代表,北京,今天 09:26,12k-15k,46348,北京麦田,北京麦田房产经纪有限公司
21,2837251,社交媒体专员（高端影像系统）,深圳,2017-04-19,8k-15k,21775,DJI大疆创新,深圳市大疆创新科技有限公司
22,2849947,高级咨询师（高端产品）,郑州,2017-04-10,4k-6k,114629,万学教育,河南万学教育咨询有限公司
23,3031331,高端精英设计师,北京,2017-04-18,5K-10K,78260,北京我爱我家装饰设计有限公司,北京我爱我家装饰设计有限公司
24,2957410,课程咨询顾问（上市公司直招+底薪4-9k+提成+高端客户群体）,上海,今天 09:53,4k-8k,119153,51Talk 无忧英语,北京大生在线科技有限公司
25,2681681,高端定制师（出境旅行）,北京,今天 10:34,6k-12k,640,世界邦,世界邦(北京)信息技术有限公司
26,3000344,销售经理（高端商务关系）,成都,2017-04-21,5k-10k,116217,四川中软,四川中软科技有限公司
27,2972647,高端服务管家-大财子,深圳,2017-04-26,10k-15k,29682,人人聚财,深圳市人人聚财金融信息服务有限公司
28,2891392,技术总监--高端系统架构师,杭州,今天 10:56,15k-25k,85833,创建科技,浙江创建科技有限公司
29,1854336,电商运营经理(高端旅游产品）,上海,今天 13:53,10k-20k,94027,斑马旅游,上海歌晨信息技术有限公司
30,2757724,全职留学写作顾问（美国高端）,北京,昨天 07:55,8k-16k,110583,出出国,北京美华心成国际教育咨询有限公司
31,2932687,高端产品经理,北京,今天 11:42,30k-45k,124195,丽兹行,北京丽兹行房地产投资顾问有限公司
32,2895847,销售顾问（高薪提成+高端客户资源+免费获得数十万课程学习机会）,北京,昨天 16:04,15k-28k,28770,盛景网联,盛景网联科技股份有限公司
33,3048104,高端地产咨询顾问,上海,2017-04-24,6k-12k,195288,帝纳地产,帝纳房地产咨询（上海）有限公司
34,2625229,高端养老社区顾问,呼和浩特,2017-04-03,7K-12K,160343,泰康人寿,泰康保险金融集团
35,2913608,高端商务助理（待遇面议）,深圳,2017-04-25,6k-8k,114416,深圳市买吉住家居饰品有限公司,深圳市买吉住家居饰品有限公司
36,3013702,高端连锁美容院店长,北京,2017-04-13,12K-20K,192821,北京伊美源泉,北京伊美源泉国际美容连锁有限公司
37,2788659,高端少儿英语教师,南京,2017-04-10,5K-10K,170740,励步英语,南京励步儿童英语培训中心
38,3024137,高端少儿英语教师,南京,2017-04-17,5K-10K,92823,励步国际儿童教育,南京励步儿童教育培训中心
39,2694782,线下活动策划执行/活动经理（高端酒会派对类活动）,广州,2017-04-24,8k-12k,71758,易悦,广州易约信息科技有限公司
40,571471,.net高级工程师（高端网站开发）,广州,2017-04-22,12k-20k,62980,千旭网络科技,广州市千旭网络科技有限公司
41,3010473,高端护肤品营业员,深圳,2017-04-12,4K-8K,192919,丽妍,丽妍（深圳）科技贸易服务商行
42,3028604,高端投资顾问,杭州,2017-04-18,50K-80K,194779,拓也资产,杭州拓也资产管理有限公司
43,2888419,高端厨房产品定制顾问,北京,2017-04-25,10K-15K,178121,德国柏丽,北京天宇柏业贸易有限公司
44,571468,"html5,css3，js前端开发(高端手机网站开发）",广州,2017-04-22,12k-20k,62980,千旭网络科技,广州市千旭网络科技有限公司
