,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2487381,黑盒测试,上海,昨天 11:46,8k-10k,24995,泛微,上海泛微网络科技股份有限公司
1,1623326,黑盒测试,北京,今天 10:51,8k-15k,83585,XSKY,星辰天合（北京）数据科技有限公司
2,2506940,黑盒测试工程师,上海,今天 10:02,10k-20k,41194,泰为,泰为信息科技（上海）有限公司
3,2990846,黑盒测试工程师,北京,昨天 09:40,15k-30k,154639,驭势科技,驭势科技（北京）有限公司
4,1266735,黑盒测试/功能测试,杭州,今天 08:36,10k-15k,52809,新致软件,上海新致软件股份有限公司
5,2778993,黑盒测试工程师,杭州,2017-04-25,8k-16k,127780,孚嘉科技,杭州孚嘉科技有限公司
6,3043695,黑盒测试工程师,广州,2017-04-25,10k-12k,49579,YY Inc,欢聚时代（多玩YY）
7,2465217,黑盒测试工程师（PC 端）,北京,2017-04-28,9k-15k,42369,ETCP,北京悦畅科技有限公司
8,2654007,初级黑盒测试工程师,成都,昨天 09:33,4k-6k,145101,四川奇迹,四川奇迹云科技有限公司
9,2793770,初级黑盒测试,上海,2017-04-20,5k-6k,34997,风云科技,江苏风云科技服务有限公司
10,3039011,用户体验员（黑盒测试工程师）,北京,2017-04-20,10k-15k,38915,寺库集团,寺库中国
11,2866542,黑盒测试,上海,今天 09:32,6k-8k,24995,泛微,上海泛微网络科技股份有限公司
12,2230913,黑盒测试,上海,今天 09:27,6k-10k,24995,泛微,上海泛微网络科技股份有限公司
13,2452821,黑盒测试工程师,上海,今天 13:04,6k-10k,24995,泛微,上海泛微网络科技股份有限公司
14,2506694,黑盒测试工程师,上海,昨天 10:46,12k-23k,41194,泰为,泰为信息科技（上海）有限公司
15,1257366,功能测试/黑盒测试,杭州,今天 08:36,8k-15k,52809,新致软件,上海新致软件股份有限公司
16,2567621,高级黑盒测试工程师,上海,昨天 10:46,10k-20k,41194,泰为,泰为信息科技（上海）有限公司
17,2575361,高级黑盒测试工程师,上海,今天 10:02,20k-30k,41194,泰为,泰为信息科技（上海）有限公司
18,2665441,黑盒测试工程师（PC-CS）,北京,2017-04-28,9k-15k,42369,ETCP,北京悦畅科技有限公司
19,2702881,web端黑盒测试工程师,上海,今天 13:04,8k-10k,24995,泛微,上海泛微网络科技股份有限公司
